0 [1.00e+00, 1.00e+00, 1.00e+00, 1.00e+00]
200 [9.90e-01, 9.89e-01, 9.83e-01, 1.00e+00]
400 [9.90e-01, 9.89e-01, 9.56e-01, 9.94e-01]
600 [9.90e-01, 9.89e-01, 9.16e-01, 9.85e-01]
800 [9.90e-01, 9.89e-01, 8.70e-01, 9.68e-01]
1000 [9.90e-01, 9.89e-01, 8.53e-01, 9.59e-01]
1200 [9.89e-01, 9.89e-01, 8.33e-01, 9.37e-01]
1400 [9.85e-01, 9.83e-01, 8.10e-01, 9.12e-01]
1600 [9.76e-01, 9.74e-01, 7.90e-01, 8.90e-01]
1800 [9.76e-01, 9.73e-01, 7.72e-01, 8.66e-01]
2000 [9.72e-01, 9.68e-01, 7.41e-01, 8.30e-01]
2200 [9.72e-01, 9.67e-01, 7.06e-01, 7.86e-01]
2400 [9.72e-01, 9.67e-01, 6.67e-01, 7.35e-01]
2600 [9.70e-01, 9.64e-01, 6.25e-01, 6.81e-01]
2800 [9.67e-01, 9.63e-01, 5.80e-01, 6.31e-01]
3000 [9.67e-01, 9.61e-01, 5.32e-01, 5.82e-01]
3200 [9.64e-01, 9.58e-01, 4.83e-01, 5.38e-01]
3400 [9.63e-01, 9.58e-01, 4.35e-01, 4.96e-01]
3600 [9.60e-01, 9.53e-01, 3.88e-01, 4.58e-01]
3800 [9.59e-01, 9.53e-01, 3.42e-01, 4.26e-01]
4000 [9.55e-01, 9.46e-01, 3.01e-01, 3.94e-01]
4200 [9.54e-01, 9.46e-01, 2.62e-01, 3.66e-01]
4400 [9.48e-01, 9.38e-01, 2.26e-01, 3.44e-01]
4600 [9.48e-01, 9.37e-01, 1.95e-01, 3.22e-01]
4800 [9.43e-01, 9.32e-01, 1.70e-01, 3.05e-01]
5000 [9.42e-01, 9.30e-01, 1.45e-01, 2.90e-01]
5200 [9.38e-01, 9.24e-01, 1.25e-01, 2.79e-01]
5400 [9.36e-01, 9.24e-01, 1.09e-01, 2.67e-01]
5600 [9.33e-01, 9.19e-01, 9.52e-02, 2.60e-01]
5800 [9.30e-01, 9.16e-01, 8.33e-02, 2.57e-01]
6000 [9.27e-01, 9.11e-01, 7.39e-02, 2.51e-01]
6200 [9.24e-01, 9.07e-01, 6.62e-02, 2.48e-01]
6400 [8.48e-01, 8.48e-01, 7.92e-02, 2.34e-01]
6600 [8.47e-01, 8.47e-01, 7.68e-02, 2.38e-01]
6800 [8.36e-01, 8.45e-01, 7.24e-02, 2.32e-01]
7000 [8.34e-01, 8.45e-01, 6.76e-02, 2.16e-01]
7200 [8.33e-01, 8.45e-01, 6.53e-02, 1.97e-01]
7400 [8.33e-01, 8.45e-01, 6.30e-02, 1.85e-01]
7600 [8.33e-01, 8.44e-01, 6.09e-02, 1.77e-01]
7800 [8.32e-01, 8.44e-01, 5.88e-02, 1.72e-01]
8000 [8.32e-01, 8.44e-01, 5.62e-02, 1.69e-01]
8200 [8.31e-01, 8.43e-01, 5.43e-02, 1.65e-01]
8400 [8.31e-01, 8.43e-01, 5.22e-02, 1.63e-01]
8600 [8.30e-01, 8.42e-01, 5.03e-02, 1.60e-01]
8800 [8.30e-01, 8.42e-01, 4.81e-02, 1.59e-01]
9000 [8.29e-01, 8.41e-01, 4.65e-02, 1.57e-01]
9200 [8.28e-01, 8.41e-01, 4.44e-02, 1.57e-01]
9400 [8.28e-01, 8.40e-01, 4.28e-02, 1.57e-01]
9600 [8.27e-01, 8.39e-01, 4.13e-02, 1.57e-01]
9800 [8.26e-01, 8.39e-01, 4.01e-02, 1.57e-01]
10000 [8.25e-01, 8.37e-01, 3.89e-02, 1.60e-01]
10200 [8.23e-01, 8.36e-01, 3.80e-02, 1.60e-01]
10400 [8.22e-01, 8.34e-01, 3.71e-02, 1.62e-01]
10600 [8.20e-01, 8.33e-01, 3.66e-02, 1.63e-01]
10800 [8.17e-01, 8.29e-01, 3.63e-02, 1.62e-01]
11000 [8.15e-01, 8.28e-01, 3.60e-02, 1.61e-01]
11200 [8.11e-01, 8.24e-01, 3.61e-02, 1.61e-01]
11400 [7.64e-01, 7.83e-01, 4.43e-02, 1.28e-01]
11600 [7.60e-01, 7.82e-01, 3.74e-02, 1.28e-01]
11800 [7.60e-01, 7.82e-01, 3.72e-02, 1.20e-01]
12000 [7.60e-01, 7.82e-01, 3.71e-02, 1.13e-01]
12200 [7.59e-01, 7.82e-01, 3.70e-02, 1.08e-01]
12400 [7.59e-01, 7.82e-01, 3.70e-02, 1.05e-01]
12600 [7.58e-01, 7.82e-01, 3.70e-02, 1.02e-01]
12800 [7.56e-01, 7.82e-01, 3.71e-02, 1.01e-01]
13000 [7.53e-01, 7.81e-01, 3.71e-02, 9.91e-02]
13200 [7.51e-01, 7.80e-01, 3.71e-02, 9.85e-02]
13400 [7.46e-01, 7.77e-01, 3.71e-02, 9.77e-02]
