0 [1.00e+00, 1.00e+00, 1.00e+00]
200 [8.24e-01, 9.69e-01, 9.69e-01]
400 [9.88e-01, 9.68e-01, 9.69e-01]
600 [1.16e+00, 9.55e-01, 9.67e-01]
800 [7.85e-01, 9.34e-01, 9.63e-01]
1000 [5.90e-01, 9.26e-01, 9.61e-01]
1200 [5.13e-01, 9.14e-01, 9.58e-01]
1400 [4.79e-01, 9.08e-01, 9.57e-01]
1600 [4.62e-01, 8.99e-01, 9.55e-01]
1800 [4.52e-01, 8.95e-01, 9.55e-01]
2000 [4.47e-01, 8.90e-01, 9.53e-01]
2200 [4.43e-01, 8.83e-01, 9.50e-01]
2400 [4.41e-01, 8.77e-01, 9.48e-01]
2600 [4.40e-01, 8.71e-01, 9.46e-01]
2800 [4.38e-01, 8.66e-01, 9.45e-01]
3000 [4.38e-01, 8.56e-01, 9.40e-01]
3200 [4.37e-01, 8.44e-01, 9.35e-01]
3400 [4.36e-01, 8.38e-01, 9.34e-01]
3600 [4.36e-01, 8.31e-01, 9.31e-01]
3800 [4.35e-01, 8.14e-01, 9.25e-01]
4000 [4.34e-01, 8.06e-01, 9.23e-01]
4200 [4.34e-01, 7.88e-01, 9.18e-01]
4400 [4.34e-01, 7.71e-01, 9.13e-01]
4600 [4.33e-01, 7.59e-01, 9.11e-01]
4800 [4.33e-01, 7.44e-01, 9.08e-01]
5000 [4.32e-01, 7.25e-01, 9.01e-01]
5200 [4.32e-01, 7.12e-01, 8.98e-01]
5400 [4.32e-01, 6.94e-01, 8.92e-01]
5600 [4.33e-01, 6.60e-01, 8.79e-01]
5800 [4.32e-01, 6.55e-01, 8.84e-01]
6000 [4.32e-01, 6.47e-01, 8.88e-01]
6200 [4.32e-01, 6.38e-01, 8.89e-01]
6400 [4.31e-01, 6.17e-01, 8.81e-01]
6600 [4.30e-01, 6.28e-01, 8.85e-01]
6800 [4.29e-01, 6.51e-01, 8.89e-01]
7000 [4.28e-01, 6.69e-01, 8.81e-01]
7200 [4.26e-01, 6.76e-01, 8.62e-01]
7400 [4.25e-01, 6.97e-01, 8.50e-01]
7600 [4.23e-01, 6.99e-01, 8.22e-01]
7800 [4.22e-01, 7.25e-01, 8.07e-01]
8000 [4.21e-01, 6.85e-01, 7.32e-01]
8200 [4.20e-01, 7.55e-01, 7.56e-01]
8400 [4.19e-01, 7.59e-01, 7.23e-01]
8600 [4.18e-01, 7.50e-01, 6.75e-01]
8800 [4.18e-01, 7.55e-01, 6.45e-01]
9000 [4.17e-01, 7.54e-01, 6.09e-01]
9200 [4.17e-01, 7.77e-01, 5.98e-01]
9400 [4.16e-01, 7.71e-01, 5.61e-01]
9600 [4.17e-01, 8.15e-01, 5.80e-01]
9800 [4.18e-01, 8.23e-01, 5.66e-01]
10000 [4.19e-01, 8.32e-01, 5.55e-01]
10200 [4.20e-01, 8.35e-01, 5.40e-01]
10400 [4.22e-01, 8.31e-01, 5.18e-01]
10600 [4.23e-01, 8.16e-01, 4.86e-01]
10800 [4.24e-01, 7.97e-01, 4.53e-01]
11000 [4.25e-01, 8.20e-01, 4.62e-01]
11200 [4.25e-01, 7.83e-01, 4.20e-01]
11400 [4.26e-01, 7.98e-01, 4.32e-01]
11600 [4.27e-01, 7.73e-01, 4.03e-01]
11800 [4.28e-01, 7.78e-01, 4.07e-01]
12000 [4.29e-01, 7.38e-01, 3.72e-01]
12200 [4.29e-01, 7.41e-01, 3.78e-01]
12400 [4.29e-01, 7.22e-01, 3.63e-01]
12600 [4.29e-01, 7.14e-01, 3.64e-01]
12800 [4.30e-01, 6.73e-01, 3.27e-01]
