Epoch,Time (seconds)
1000,23.246065378189087
2000,49.220866680145264
3000,73.04080510139465
4000,92.60518455505371
5000,111.39113664627075
6000,130.17049956321716
7000,149.21540522575378
8000,167.97408199310303
9000,185.7609670162201
10000,205.9059660434723
11000,225.13878870010376
12000,244.29817175865173
13000,263.0445773601532
14000,281.6888098716736
15000,300.80014395713806
16000,319.4794044494629
17000,337.6099326610565
18000,355.72766041755676
19000,373.8693997859955
20000,392.534460067749
21000,411.33706307411194
22000,430.1506152153015
23000,448.96507024765015
24000,467.5193932056427
25000,485.8063440322876
26000,504.79605436325073
27000,523.4959244728088
28000,542.4829289913177
29000,561.1933505535126
30000,579.91113114357
31000,598.630270242691
32000,617.3526608943939
33000,636.3793723583221
34000,655.3304443359375
35000,674.4324820041656
36000,693.3063132762909
37000,711.7919993400574
38000,729.86368227005
39000,747.9770634174347
40000,766.0923874378204
41000,785.3824634552002
42000,804.0817415714264
43000,822.9713776111603
44000,841.681764125824
45000,861.0113430023193
46000,880.1165640354156
47000,898.8244302272797
48000,917.3829474449158
49000,935.4507455825806
50000,954.4170572757721
51000,973.5132973194122
52000,992.2404463291168
53000,1010.9589791297913
54000,1029.9856357574463
55000,1048.749588727951
56000,1067.4652049541473
57000,1086.1906235218048
58000,1105.2857475280762
59000,1123.9918270111084
60000,1142.4975283145905
61000,1161.6431391239166
62000,1181.146713733673
63000,1199.8743889331818
64000,1218.4650275707245
65000,1236.616675376892
66000,1254.803391456604
67000,1272.9649722576141
68000,1291.43603849411
69000,1310.144410610199
70000,1328.8602604866028
71000,1347.5924916267395
72000,1366.3222858905792
73000,1384.5263285636902
74000,1402.529417514801
75000,1420.855431318283
76000,1439.581521987915
77000,1458.3057870864868
78000,1477.0389273166656
79000,1495.4004609584808
80000,1515.0168676376343
81000,1534.0211369991302
82000,1552.9641463756561
83000,1571.6836807727814
84000,1590.4115905761719
85000,1609.1212186813354
86000,1627.532817363739
87000,1646.556851387024
88000,1665.3047361373901
89000,1684.0315206050873
90000,1703.058967590332
91000,1721.7960619926453
92000,1740.541829109192
93000,1759.647043466568
94000,1778.738359928131
95000,1797.6594824790955
