Epoch,Time (seconds)
1000,18.617658615112305
2000,32.78772449493408
3000,51.109291791915894
4000,70.01432800292969
5000,92.38385558128357
6000,112.34244155883789
7000,129.6108419895172
8000,147.5228250026703
9000,166.16582536697388
10000,184.2424578666687
11000,202.98853707313538
12000,220.0366566181183
13000,235.91341972351074
14000,251.73009490966797
15000,267.52191400527954
16000,283.3234648704529
17000,299.1166696548462
18000,315.01392912864685
19000,330.7922546863556
20000,346.58204317092896
21000,362.3863558769226
22000,377.8047411441803
23000,392.9827878475189
24000,408.1783721446991
25000,423.38202238082886
26000,438.70615577697754
27000,454.5647439956665
28000,470.4069242477417
29000,486.2600224018097
30000,502.1400046348572
31000,517.9798154830933
32000,534.0157606601715
33000,550.2344746589661
34000,566.4521763324738
35000,582.7223553657532
36000,599.2841374874115
37000,615.9349071979523
38000,631.9026226997375
39000,647.6816947460175
40000,663.6217367649078
41000,679.751368522644
42000,695.5567116737366
43000,711.2839117050171
44000,727.0669956207275
45000,742.8533577919006
46000,758.6325302124023
47000,774.4319844245911
48000,789.9900643825531
49000,805.814640045166
50000,821.6588311195374
51000,837.5220758914948
52000,853.3876390457153
53000,869.2051115036011
54000,885.0719006061554
55000,901.1686699390411
56000,917.0013582706451
57000,932.7899119853973
58000,948.5761573314667
59000,964.428281545639
60000,980.2345080375671
61000,996.0537815093994
62000,1011.8801600933075
63000,1027.6807630062103
64000,1043.4614515304565
65000,1059.2483451366425
66000,1075.0232486724854
67000,1090.8214190006256
68000,1106.6180114746094
69000,1122.4287109375
70000,1138.2639517784119
71000,1154.0316207408905
72000,1169.8389959335327
73000,1185.6243526935577
74000,1201.432011127472
75000,1217.2430679798126
76000,1233.1108753681183
77000,1248.9395253658295
78000,1264.7859983444214
79000,1280.5669705867767
80000,1296.4045209884644
81000,1312.2347695827484
82000,1328.1022396087646
83000,1343.8237359523773
84000,1359.6568400859833
85000,1375.4932234287262
86000,1391.3080468177795
87000,1407.1509909629822
88000,1422.979529619217
89000,1438.7751684188843
90000,1454.5628407001495
91000,1470.350861787796
92000,1486.10653090477
93000,1502.0541007518768
94000,1517.8807117938995
95000,1533.6679589748383
96000,1549.4376220703125
97000,1565.2238595485687
98000,1581.0276193618774
99000,1596.820998430252
100000,1612.654461145401
101000,1628.4516723155975
102000,1644.2744026184082
103000,1660.0776045322418
104000,1675.9078016281128
105000,1691.6909701824188
106000,1707.4811882972717
107000,1723.2627782821655
108000,1739.094002008438
109000,1754.922973394394
110000,1770.7595703601837
111000,1786.5820014476776
112000,1802.4227151870728
113000,1818.220427274704
114000,1834.062341928482
115000,1849.9363396167755
116000,1865.7974388599396
117000,1881.6258113384247
118000,1897.3937554359436
119000,1913.1363246440887
120000,1928.8987820148468
121000,1944.733958721161
122000,1960.594130039215
123000,1976.392959356308
124000,1992.1545686721802
125000,2007.9939608573914
126000,2023.8210124969482
127000,2039.6547284126282
128000,2055.441222667694
129000,2071.281444787979
130000,2087.0837037563324
131000,2102.9287209510803
132000,2118.744752883911
133000,2134.5551040172577
134000,2150.4064903259277
135000,2166.2709345817566
136000,2182.092804670334
137000,2197.9508361816406
138000,2213.7668557167053
139000,2229.5985658168793
140000,2245.4095928668976
141000,2261.265689134598
142000,2277.114278316498
143000,2292.930106639862
144000,2308.6992852687836
145000,2324.5466051101685
146000,2340.4092152118683
147000,2356.2263917922974
148000,2372.0405519008636
149000,2387.867762565613
150000,2403.7285284996033
151000,2419.527379512787
152000,2435.2879498004913
153000,2451.0493025779724
154000,2466.882034301758
155000,2482.762379169464
156000,2498.5788428783417
157000,2514.3026700019836
158000,2530.1355636119843
159000,2545.9470756053925
160000,2561.779597043991
161000,2577.5293250083923
162000,2593.33379983902
163000,2609.11585354805
164000,2624.935281276703
165000,2640.7549860477448
166000,2656.5473165512085
167000,2672.2942185401917
168000,2688.158977508545
169000,2704.2488853931427
170000,2720.1083471775055
171000,2735.925066947937
172000,2751.724401473999
173000,2767.5184485912323
174000,2783.3154447078705
175000,2799.0871708393097
176000,2814.869277715683
177000,2830.6413214206696
178000,2845.948587179184
179000,2861.743273496628
180000,2877.499532699585
181000,2893.32603931427
182000,2909.161087989807
183000,2924.956608057022
184000,2940.7749812602997
185000,2956.597486257553
186000,2972.387026309967
187000,2988.190500497818
188000,3003.965801715851
189000,3019.745619535446
190000,3035.594917535782
191000,3051.4304168224335
192000,3067.2448122501373
193000,3083.08362364769
194000,3098.924427509308
195000,3114.7653572559357
196000,3130.544783592224
197000,3146.347728252411
198000,3162.1564195156097
199000,3178.0050151348114
200000,3193.823615550995
201000,3209.5901992321014
202000,3225.3734591007233
203000,3241.199123620987
204000,3256.952095746994
205000,3272.7432055473328
206000,3288.500513076782
207000,3304.275059223175
208000,3320.1652250289917
209000,3335.9840228557587
210000,3351.7798805236816
211000,3367.579217672348
212000,3383.399790763855
213000,3399.260903596878
214000,3415.066738843918
215000,3430.885519504547
216000,3446.7387182712555
217000,3462.539405822754
218000,3478.318335056305
219000,3494.10382270813
220000,3509.8842601776123
221000,3525.6493554115295
222000,3541.5452802181244
223000,3557.351932287216
224000,3573.181184530258
225000,3589.0274608135223
226000,3604.871153354645
227000,3620.7010173797607
228000,3636.5184195041656
229000,3652.380354166031
230000,3668.2065529823303
231000,3684.0764882564545
232000,3699.9459240436554
233000,3715.7267849445343
234000,3731.553156375885
235000,3747.4960746765137
236000,3763.348375082016
237000,3779.190307855606
238000,3795.020570039749
239000,3811.142936706543
240000,3826.936167240143
241000,3842.7789380550385
242000,3858.592424631119
243000,3874.427202939987
