32000 [1.35e+00, 5.58e-01]
32200 [1.35e+00, 5.59e-01]
32400 [1.35e+00, 5.58e-01]
32600 [1.35e+00, 5.58e-01]
32800 [1.35e+00, 5.59e-01]
33000 [1.36e+00, 5.58e-01]
33200 [1.36e+00, 5.58e-01]
33400 [1.36e+00, 5.58e-01]
33600 [1.36e+00, 5.57e-01]
33800 [1.36e+00, 5.59e-01]
34000 [1.36e+00, 5.60e-01]
34200 [1.36e+00, 5.60e-01]
34400 [1.36e+00, 5.59e-01]
34600 [1.36e+00, 5.59e-01]
34800 [1.37e+00, 5.62e-01]
35000 [1.37e+00, 5.61e-01]
35200 [1.37e+00, 5.62e-01]
35400 [1.37e+00, 5.65e-01]
35600 [1.37e+00, 5.64e-01]
35800 [1.37e+00, 5.66e-01]
36000 [1.37e+00, 5.66e-01]
36200 [1.37e+00, 5.66e-01]
36400 [1.37e+00, 5.69e-01]
36600 [1.37e+00, 5.68e-01]
36800 [1.37e+00, 5.71e-01]
37000 [1.38e+00, 5.71e-01]
37200 [1.38e+00, 5.73e-01]
37400 [1.38e+00, 5.72e-01]
37600 [1.38e+00, 5.74e-01]
37800 [1.38e+00, 5.75e-01]
38000 [1.38e+00, 5.77e-01]
38200 [1.38e+00, 5.78e-01]
38400 [1.38e+00, 5.79e-01]
38600 [1.38e+00, 5.80e-01]
38800 [1.38e+00, 5.81e-01]
39000 [1.38e+00, 5.82e-01]
39200 [1.38e+00, 5.83e-01]
39400 [1.38e+00, 5.84e-01]
39600 [1.38e+00, 5.85e-01]
39800 [1.38e+00, 5.85e-01]
40000 [1.38e+00, 5.85e-01]
40200 [1.38e+00, 5.87e-01]
40400 [1.38e+00, 5.88e-01]
40600 [1.38e+00, 5.88e-01]
40800 [1.38e+00, 5.88e-01]
41000 [1.38e+00, 5.90e-01]
41200 [1.38e+00, 5.91e-01]
41400 [1.38e+00, 5.91e-01]
41600 [1.38e+00, 5.94e-01]
41800 [1.38e+00, 5.92e-01]
42000 [1.39e+00, 5.93e-01]
42200 [1.39e+00, 5.93e-01]
42400 [1.39e+00, 5.93e-01]
42600 [1.39e+00, 5.94e-01]
42800 [1.39e+00, 5.95e-01]
43000 [1.39e+00, 5.96e-01]
43200 [1.39e+00, 5.97e-01]
43400 [1.39e+00, 5.98e-01]
43600 [1.39e+00, 5.99e-01]
43800 [1.39e+00, 5.98e-01]
44000 [1.39e+00, 5.99e-01]
44200 [1.39e+00, 6.00e-01]
44400 [1.39e+00, 6.01e-01]
44600 [1.39e+00, 6.01e-01]
44800 [1.39e+00, 6.01e-01]
45000 [1.39e+00, 6.02e-01]
45200 [1.39e+00, 6.03e-01]
45400 [1.39e+00, 6.03e-01]
45600 [1.39e+00, 6.04e-01]
45800 [1.39e+00, 6.04e-01]
46000 [1.39e+00, 6.05e-01]
46200 [1.39e+00, 6.05e-01]
46400 [1.39e+00, 6.05e-01]
46600 [1.39e+00, 6.06e-01]
46800 [1.39e+00, 6.06e-01]
47000 [1.39e+00, 6.07e-01]
47200 [1.39e+00, 6.07e-01]
47400 [1.39e+00, 6.07e-01]
47600 [1.39e+00, 6.08e-01]
47800 [1.39e+00, 6.09e-01]
48000 [1.39e+00, 6.09e-01]
48200 [1.39e+00, 6.10e-01]
48400 [1.39e+00, 6.10e-01]
48600 [1.39e+00, 6.10e-01]
48800 [1.40e+00, 6.10e-01]
49000 [1.40e+00, 6.10e-01]
49200 [1.40e+00, 6.11e-01]
49400 [1.40e+00, 6.11e-01]
49600 [1.40e+00, 6.11e-01]
49800 [1.40e+00, 6.12e-01]
50000 [1.40e+00, 6.12e-01]
50200 [1.40e+00, 6.13e-01]
50400 [1.40e+00, 6.13e-01]
50600 [1.40e+00, 6.13e-01]
50800 [1.40e+00, 6.14e-01]
51000 [1.40e+00, 6.14e-01]
