"Time","Subsystem #1|CTLs|Vars|Tm","Subsystem #1|CTLs|Vars|WPU","Subsystem #1|Machines|M1|Te_sync","Subsystem #1|Machines|M1|w_sync"
0.0,0.0999895061,0.999955596,1.215330003E-6,0.9994486618
5.0E-5,0.09998950539,0.9999555967,1.186406692E-6,0.9994486626
1.0E-4,0.09998950468,0.9999555974,1.156717567E-6,0.9994486633
1.5E-4,0.09998950398,0.9999555982,1.126299349E-6,0.999448664
2.0E-4,0.09998950328,0.9999555989,1.095188938E-6,0.9994486647
2.5E-4,0.09998950257,0.9999555996,1.063425306E-6,0.9994486655
3.0E-4,0.09998950187,0.9999556003,1.031047387E-6,0.9994486662
3.5E-4,0.09998950117,0.9999556011,9.980961055E-7,0.9994486669
4.0E-4,0.09998950047,0.9999556018,9.646121191E-7,0.9994486677
4.5E-4,0.09998949976,0.9999556025,9.306379831E-7,0.9994486684
5.0E-4,0.09998949906,0.9999556033,8.962157473E-7,0.9994486691
5.5E-4,0.09998949836,0.999955604,8.613892567E-7,0.9994486698
6.0E-4,0.09998949767,0.9999556047,8.262016065E-7,0.9994486706
6.5E-4,0.09998949697,0.9999556054,7.906975773E-7,0.9994486713
7.0E-4,0.09998949627,0.9999556062,7.549209523E-7,0.999448672
7.5E-4,0.09998949557,0.9999556069,7.189170865E-7,0.9994486728
8.0E-4,0.09998949487,0.9999556076,6.827300901E-7,0.9994486735
8.5E-4,0.09998949418,0.9999556084,6.464055299E-7,0.9994486742
9.0E-4,0.09998949348,0.9999556091,6.099874836E-7,0.999448675
9.5E-4,0.09998949279,0.9999556098,5.735213723E-7,0.9994486757
0.001,0.09998949209,0.9999556106,5.370508894E-7,0.9994486764
0.00105,0.09998949139,0.9999556113,5.006209632E-7,0.9994486772
0.0011,0.0999894907,0.9999556121,4.642745648E-7,0.9994486779
0.00115,0.09998949001,0.9999556128,4.280557986E-7,0.9994486786
0.0012,0.09998948931,0.9999556135,3.920065936E-7,0.9994486794
0.00125,0.09998948862,0.9999556143,3.561699202E-7,0.9994486801
0.0013,0.09998948792,0.999955615,3.205863689E-7,0.9994486809
