"Time","Subsystem #1|CTLs|Vars|Tm","Subsystem #1|CTLs|Vars|WPU","Subsystem #1|Machines|M1|Te_sync","Subsystem #1|Machines|M1|w_sync"
0.0,0.1198992718,1.000058791,1.183282822E-6,0.9995518027
5.0E-5,0.1198992725,1.00005879,1.209923189E-6,0.9995518017
1.0E-4,0.1198992732,1.000058789,1.235975087E-6,0.9995518007
1.5E-4,0.1198992739,1.000058788,1.261410553E-6,0.9995517997
2.0E-4,0.1198992746,1.000058787,1.286201E-6,0.9995517987
2.5E-4,0.1198992752,1.000058786,1.31031887E-6,0.9995517977
3.0E-4,0.1198992759,1.000058785,1.333736098E-6,0.9995517966
3.5E-4,0.1198992766,1.000058784,1.356425665E-6,0.9995517956
4.0E-4,0.1198992773,1.000058783,1.378360174E-6,0.9995517946
4.5E-4,0.119899278,1.000058782,1.399513298E-6,0.9995517936
5.0E-4,0.1198992787,1.000058781,1.419858462E-6,0.9995517926
5.5E-4,0.1198992794,1.00005878,1.43937019E-6,0.9995517916
6.0E-4,0.11989928,1.000058779,1.458022892E-6,0.9995517906
6.5E-4,0.1198992807,1.000058778,1.475792113E-6,0.9995517896
7.0E-4,0.1198992814,1.000058777,1.492653421E-6,0.9995517886
7.5E-4,0.1198992821,1.000058776,1.508583557E-6,0.9995517876
8.0E-4,0.1198992828,1.000058775,1.523559431E-6,0.9995517866
8.5E-4,0.1198992835,1.000058774,1.53755916E-6,0.9995517856
9.0E-4,0.1198992842,1.000058773,1.550561182E-6,0.9995517845
9.5E-4,0.1198992849,1.000058772,1.562545183E-6,0.9995517835
0.001,0.1198992856,1.000058771,1.573491319E-6,0.9995517825
0.00105,0.1198992863,1.00005877,1.583381038E-6,0.9995517815
0.0011,0.1198992869,1.000058769,1.59219641E-6,0.9995517805
0.00115,0.1198992876,1.000058768,1.599920839E-6,0.9995517795
0.0012,0.1198992883,1.000058767,1.606538502E-6,0.9995517785
0.00125,0.119899289,1.000058766,1.612034955E-6,0.9995517775
0.0013,0.1198992897,1.000058765,1.616396679E-6,0.9995517765
0.00135,0.1198992904,1.000058764,1.619611571E-6,0.9995517754
0.0014,0.1198992911,1.000058763,1.621668604E-6,0.9995517744
0.00145,0.1198992918,1.000058762,1.622558202E-6,0.9995517734
0.0015,0.1198992925,1.000058761,1.622272012E-6,0.9995517724
0.00155,0.1198992932,1.00005876,1.620803163E-6,0.9995517714
0.0016,0.1198992939,1.000058759,1.618146146E-6,0.9995517704
0.00165,0.1198992946,1.000058758,1.614296957E-6,0.9995517694
0.0017,0.1198992953,1.000058757,1.609253089E-6,0.9995517684
0.00175,0.119899296,1.000058756,1.603013553E-6,0.9995517674
0.0018,0.1198992967,1.000058755,1.595578981E-6,0.9995517663
0.00185,0.1198992974,1.000058754,1.58695153E-6,0.9995517653
0.0019,0.1198992981,1.000058753,1.577135088E-6,0.9995517643
0.00195,0.1198992988,1.000058751,1.566135059E-6,0.9995517633
0.002,0.1198992995,1.00005875,1.553958683E-6,0.9995517623
0.00205,0.1198993003,1.000058749,1.54061469E-6,0.9995517613
0.0021,0.119899301,1.000058748,1.526113733E-6,0.9995517603
0.00215,0.1198993017,1.000058747,1.510467919E-6,0.9995517593
0.0022,0.1198993024,1.000058746,1.493691344E-6,0.9995517583
0.00225,0.1198993031,1.000058745,1.47579951E-6,0.9995517573
0.0023,0.1198993038,1.000058744,1.456809955E-6,0.9995517563
0.00235,0.1198993045,1.000058743,1.436741552E-6,0.9995517553
0.0024,0.1198993052,1.000058742,1.415615248E-6,0.9995517542
0.00245,0.1198993059,1.000058741,1.39345323E-6,0.9995517532
0.0025,0.1198993066,1.00005874,1.370279775E-6,0.9995517522
0.00255,0.1198993073,1.000058739,1.346120292E-6,0.9995517512
0.0026,0.1198993081,1.000058738,1.321002273E-6,0.9995517502
0.00265,0.1198993088,1.000058737,1.294954215E-6,0.9995517492
0.0027,0.1198993095,1.000058736,1.268006671E-6,0.9995517482
0.00275,0.1198993102,1.000058735,1.240191055E-6,0.9995517472
0.0028,0.1198993109,1.000058734,1.211540791E-6,0.9995517462
0.00285,0.1198993116,1.000058733,1.182090001E-6,0.9995517452
0.0029,0.1198993123,1.000058732,1.151874751E-6,0.9995517442
0.00295,0.1198993131,1.000058731,1.120931626E-6,0.9995517432
0.003,0.1198993138,1.00005873,1.089299076E-6,0.9995517422
0.00305,0.1198993145,1.000058729,1.057015873E-6,0.9995517412
0.0031,0.1198993152,1.000058728,1.024122558E-6,0.9995517402
0.00315,0.1198993159,1.000058727,9.906597852E-7,0.9995517392
0.0032,0.1198993166,1.000058726,9.566698722E-7,0.9995517382
0.00325,0.1198993173,1.000058725,9.221950279E-7,0.9995517372
0.0033,0.1198993181,1.000058724,8.872790055E-7,0.9995517362
0.00335,0.1198993188,1.000058723,8.519652236E-7,0.9995517352
0.0034,0.1198993195,1.000058722,8.162985177E-7,0.9995517342
0.00345,0.1198993202,1.000058721,7.803231573E-7,0.9995517332
0.0035,0.1198993209,1.00005872,7.440846963E-7,0.9995517322
0.00355,0.1198993216,1.000058719,7.07627889E-7,0.9995517313
0.0036,0.1198993224,1.000058718,6.709986406E-7,0.9995517303
0.00365,0.1198993231,1.000058717,6.342418243E-7,0.9995517293
0.0037,0.1198993238,1.000058716,5.974033308E-7,0.9995517283
0.00375,0.1198993245,1.000058715,5.605277918E-7,0.9995517273
0.0038,0.1198993252,1.000058714,5.236607266E-7,0.9995517263
0.00385,0.1198993259,1.000058713,4.868461757E-7,0.9995517253
0.0039,0.1198993267,1.000058712,4.501289443E-7,0.9995517243
0.00395,0.1198993274,1.000058711,4.135521488E-7,0.9995517234
0.004,0.1198993281,1.000058711,3.771595565E-7,0.9995517224
0.00405,0.1198993288,1.00005871,3.409930487E-7,0.9995517214
0.0041,0.1198993295,1.000058709,3.05095055E-7,0.9995517204
0.00415,0.1198993302,1.000058708,2.695059363E-7,0.9995517194
0.0042,0.119899331,1.000058707,2.342665121E-7,0.9995517184
0.00425,0.1198993317,1.000058706,1.99415367E-7,0.9995517175
0.0043,0.1198993324,1.000058705,1.64991469E-7,0.9995517165
0.00435,0.1198993331,1.000058704,1.310314026E-7,0.9995517155
0.0044,0.1198993338,1.000058703,9.757207562E-8,0.9995517145
0.00445,0.1198993345,1.000058702,6.464788228E-8,0.9995517135
0.0045,0.1198993352,1.000058701,3.229349596E-8,0.9995517126
0.00455,0.119899336,1.0000587,0.0,0.9995517116
0.0046,0.1198993367,1.000058699,-3.05774102E-8,0.9995517106
0.00465,0.1198993374,1.000058698,-6.103204826E-8,0.9995517096
0.0047,0.1198993381,1.000058697,-9.079312836E-8,0.9995517087
0.00475,0.1198993388,1.000058696,-1.198336211E-7,0.9995517077
0.0048,0.1198993395,1.000058695,-1.481262564E-7,0.9995517067
0.00485,0.1198993402,1.000058694,-1.756466116E-7,0.9995517057
0.0049,0.1198993409,1.000058693,-2.023700073E-7,0.9995517048
0.00495,0.1198993416,1.000058692,-2.282746506E-7,0.9995517038
0.005,0.1198993423,1.000058691,-2.533384632E-7,0.9995517028
0.00505,0.1198993431,1.00005869,-2.775422773E-7,0.9995517019
0.0051,0.1198993438,1.000058689,-3.008665989E-7,0.9995517009
0.00515,0.1198993445,1.000058688,-3.232948549E-7,0.9995516999
0.0052,0.1198993452,1.000058687,-3.448100961E-7,0.9995516989
0.00525,0.1198993459,1.000058686,-3.653982915E-7,0.999551698
0.0053,0.1198993466,1.000058685,-3.850449759E-7,0.999551697
0.00535,0.1198993473,1.000058684,-4.037385886E-7,0.999551696
0.0054,0.119899348,1.000058683,-4.214670707E-7,0.9995516951
0.00545,0.1198993487,1.000058682,-4.382212453E-7,0.9995516941
0.0055,0.1198993494,1.000058681,-4.539913673E-7,0.9995516931
0.00555,0.1198993501,1.00005868,-4.687705442E-7,0.9995516922
0.0056,0.1198993508,1.000058679,-4.825512427E-7,0.9995516912
0.00565,0.1198993515,1.000058678,-4.953287457E-7,0.9995516902
0.0057,0.1198993522,1.000058677,-5.070976215E-7,0.9995516893
0.00575,0.1198993529,1.000058676,-5.178552136E-7,0.9995516883
0.0058,0.1198993536,1.000058675,-5.275980769E-7,0.9995516873
0.00585,0.1198993543,1.000058674,-5.363254975E-7,0.9995516864
0.0059,0.119899355,1.000058674,-5.440358996E-7,0.9995516854
0.00595,0.1198993557,1.000058673,-5.507303925E-7,0.9995516845
0.006,0.1198993564,1.000058672,-5.564091523E-7,0.9995516835
0.00605,0.1198993571,1.000058671,-5.610749935E-7,0.9995516825
0.0061,0.1198993578,1.00005867,-5.647297298E-7,0.9995516816
0.00615,0.1198993585,1.000058669,-5.673777651E-7,0.9995516806
0.0062,0.1198993592,1.000058668,-5.690224392E-7,0.9995516796
0.00625,0.1198993599,1.000058667,-5.696696355E-7,0.9995516787
0.0063,0.1198993605,1.000058666,-5.693241136E-7,0.9995516777
0.00635,0.1198993612,1.000058665,-5.679931311E-7,0.9995516767
0.0064,0.1198993619,1.000058664,-5.656827681E-7,0.9995516758
0.00645,0.1198993626,1.000058663,-5.624015584E-7,0.9995516748
0.0065,0.1198993633,1.000058662,-5.581568095E-7,0.9995516739
0.00655,0.119899364,1.000058661,-5.529582406E-7,0.9995516729
0.0066,0.1198993647,1.00005866,-5.468143018E-7,0.9995516719
0.00665,0.1198993654,1.000058659,-5.397358146E-7,0.999551671
0.0067,0.1198993661,1.000058658,-5.317322947E-7,0.99955167
0.00675,0.1198993667,1.000058657,-5.228155908E-7,0.999551669
0.0068,0.1198993674,1.000058656,-5.129962151E-7,0.9995516681
0.00685,0.1198993681,1.000058655,-5.022869767E-7,0.9995516671
0.0069,0.1198993688,1.000058654,-4.906993231E-7,0.9995516661
0.00695,0.1198993695,1.000058653,-4.78246965E-7,0.9995516652
0.007,0.1198993702,1.000058652,-4.649422317E-7,0.9995516642
0.00705,0.1198993708,1.000058651,-4.507996839E-7,0.9995516632
0.0071,0.1198993715,1.00005865,-4.358324871E-7,0.9995516623
0.00715,0.1198993722,1.000058649,-4.200560077E-7,0.9995516613
0.0072,0.1198993729,1.000058648,-4.034842083E-7,0.9995516603
0.00725,0.1198993736,1.000058647,-3.861332238E-7,0.9995516594
0.0073,0.1198993742,1.000058646,-3.680177809E-7,0.9995516584
0.00735,0.1198993749,1.000058646,-3.491547518E-7,0.9995516574
0.0074,0.1198993756,1.000058645,-3.295596008E-7,0.9995516565
0.00745,0.1198993763,1.000058644,-3.092499113E-7,0.9995516555
0.0075,0.119899377,1.000058643,-2.882418637E-7,0.9995516545
0.00755,0.1198993776,1.000058642,-2.665537317E-7,0.9995516536
0.0076,0.1198993783,1.000058641,-2.442023943E-7,0.9995516526
0.00765,0.119899379,1.00005864,-2.21206799E-7,0.9995516516
0.0077,0.1198993797,1.000058639,-1.975845106E-7,0.9995516506
0.00775,0.1198993803,1.000058638,-1.733551363E-7,0.9995516497
0.0078,0.119899381,1.000058637,-1.485369166E-7,0.9995516487
0.00785,0.1198993817,1.000058636,-1.231501084E-7,0.9995516477
0.0079,0.1198993824,1.000058635,-9.721361943E-8,0.9995516468
0.00795,0.119899383,1.000058634,-7.074834814E-8,0.9995516458
0.008,0.1198993837,1.000058633,-4.377386347E-8,0.9995516448
0.00805,0.1198993844,1.000058632,-1.631169798E-8,0.9995516438
0.0081,0.1198993851,1.000058631,1.161792309E-8,0.9995516429
0.00815,0.1198993857,1.00005863,3.999283946E-8,0.9995516419
0.0082,0.1198993864,1.000058629,6.879217455E-8,0.9995516409
0.00825,0.1198993871,1.000058628,9.799314673E-8,0.9995516399
0.0083,0.1198993877,1.000058627,1.275742333E-7,0.9995516389
0.00835,0.1198993884,1.000058626,1.575120382E-7,0.999551638
0.0084,0.1198993891,1.000058625,1.877843988E-7,0.999551637
0.00845,0.1198993898,1.000058624,2.183673133E-7,0.999551636
0.0085,0.1198993904,1.000058623,2.492379867E-7,0.999551635
0.00855,0.1198993911,1.000058622,2.803718216E-7,0.999551634
0.0086,0.1198993918,1.000058621,3.117454011E-7,0.9995516331
0.00865,0.1198993924,1.00005862,3.43333545E-7,0.9995516321
0.0087,0.1198993931,1.000058619,3.751122275E-7,0.9995516311
0.00875,0.1198993938,1.000058618,4.070557016E-7,0.9995516301
0.0088,0.1198993945,1.000058617,4.391393493E-7,0.9995516291
0.00885,0.1198993951,1.000058616,4.713368765E-7,0.9995516281
0.0089,0.1198993958,1.000058615,5.036230938E-7,0.9995516272
0.00895,0.1198993965,1.000058614,5.359711844E-7,0.9995516262
0.009,0.1198993971,1.000058613,5.683554127E-7,0.9995516252
0.00905,0.1198993978,1.000058612,6.007484684E-7,0.9995516242
0.0091,0.1198993985,1.000058611,6.331241009E-7,0.9995516232
0.00915,0.1198993992,1.00005861,6.65454541E-7,0.9995516222
0.0092,0.1198993998,1.000058609,6.977130595E-7,0.9995516212
0.00925,0.1198994005,1.000058608,7.298714697E-7,0.9995516202
0.0093,0.1198994012,1.000058607,7.61902607E-7,0.9995516193
0.00935,0.1198994018,1.000058606,7.937779149E-7,0.9995516183
0.0094,0.1198994025,1.000058605,8.254698436E-7,0.9995516173
0.00945,0.1198994032,1.000058604,8.569495218E-7,0.9995516163
0.0095,0.1198994039,1.000058603,8.881890726E-7,0.9995516153
0.00955,0.1198994045,1.000058602,9.191593729E-7,0.9995516143
0.0096,0.1198994052,1.000058601,9.498322845E-7,0.9995516133
0.00965,0.1198994059,1.0000586,9.801785039E-7,0.9995516123
0.0097,0.1198994066,1.000058599,1.010169706E-6,0.9995516113
0.00975,0.1198994072,1.000058598,1.039776488E-6,0.9995516103
0.0098,0.1198994079,1.000058597,1.068970422E-6,0.9995516093
0.00985,0.1198994086,1.000058596,1.097722093E-6,0.9995516083
0.0099,0.1198994093,1.000058595,1.126003066E-6,0.9995516073
0.00995,0.1198994099,1.000058594,1.153784012E-6,0.9995516063
0.01,0.1198994106,1.000058593,1.181036591E-6,0.9995516053
0.01005,0.1198994113,1.000058592,1.207731673E-6,0.9995516043
0.0101,0.119899412,1.000058591,0.002476983629,0.9995515517
0.01015,0.1198994188,1.000058539,0.009419226314,0.9995513545
0.0102,0.1198994431,1.000058341,0.01805437181,0.9995509774
0.01025,0.1198994889,1.000057964,0.02609829145,0.9995504327
0.0103,0.1198995547,1.000057419,0.03355007114,0.9995497328
0.01035,0.1198996393,1.000056719,0.04040867706,0.99954889
0.0104,0.1198997409,1.000055876,0.04667297658,0.9995479167
0.01045,0.1198998582,1.000054902,0.05234175521,0.9995468253
0.0105,0.1198999897,1.00005381,0.05741372841,0.9995456282
0.01055,0.1199001339,1.000052612,0.06188755289,0.9995443379
0.0106,0.1199002892,1.000051321,0.06576183538,0.9995429669
0.01065,0.1199004542,1.00004995,0.06903514255,0.9995415278
0.0107,0.1199006274,1.00004851,0.07170600806,0.999540033
0.01075,0.1199008073,1.000047014,0.07377294259,0.9995384951
0.0108,0.1199009924,1.000045476,0.07523444074,0.9995369268
0.01085,0.1199011811,1.000043906,0.07608899064,0.9995353407
0.0109,0.1199013719,1.00004232,0.07633508113,0.9995337495
0.01095,0.1199015633,1.000040728,0.07597121192,0.9995321659
0.011,0.1199017539,1.000039143,0.07499590004,0.9995306026
0.01105,0.119901942,1.000037579,0.07340769081,0.9995290724
0.0111,0.1199021261,1.000036048,0.07120516438,0.9995275881
0.01115,0.1199023047,1.000034563,0.06838694642,0.9995261625
0.0112,0.1199024763,1.000033137,0.06495171496,0.9995248085
0.01125,0.1199026393,1.000031782,0.06089821159,0.9995235389
0.0113,0.1199027922,1.000030512,0.05622524747,0.9995223667
0.01135,0.1199029334,1.000029339,0.05093171525,0.9995213048
0.0114,0.1199030613,1.000028277,0.04501659505,0.9995203662
0.01145,0.1199031745,1.000027337,0.03847896598,0.9995195637
0.0115,0.1199032713,1.000026535,0.03131801225,0.9995189104
0.01155,0.1199033503,1.000025881,0.02353303513,0.9995184193
0.0116,0.1199034098,1.00002539,0.01512345804,0.9995181035
0.01165,0.1199034482,1.000025074,0.006088839116,0.9995179758
0.0117,0.1199034641,1.000024946,-0.003571123862,0.9995180494
0.01175,0.1199034559,1.000025019,-0.01385658144,0.9995183373
0.0118,0.1199034219,1.000025307,-0.02476752758,0.9995188524
0.01185,0.1199033607,1.000025823,-0.03630378733,0.999519608
0.0119,0.1199032707,1.000026579,-0.04846501301,0.9995206168
