"Time","Subsystem #1|CTLs|Vars|Tm","Subsystem #1|Machines|M|TESTSPDOUT","Subsystem #1|Machines|M|TESTTELECT"
0.0052,0.5852828947,0.9899430057,0.6141633111
0.00525,0.5852791749,0.9899425495,0.6141634933
0.0053,0.5852754701,0.9899420932,0.6141636774
0.00535,0.5852717804,0.9899416369,0.6141638634
0.0054,0.5852681056,0.9899411805,0.6141640512
0.00545,0.5852644457,0.9899407241,0.6141642408
0.0055,0.5852608009,0.9899402676,0.6141644323
0.00555,0.5852571711,0.989939811,0.6141646256
0.0056,0.5852535562,0.9899393543,0.6141648208
0.00565,0.5852499563,0.9899388976,0.6141650178
0.0057,0.5852463713,0.9899384409,0.6141652166
0.00575,0.5852428013,0.989937984,0.6141654172
0.0058,0.5852392463,0.9899375271,0.6141656196
0.00585,0.5852357062,0.9899370702,0.6141658239
0.0059,0.5852321811,0.9899366132,0.6141660299
0.00595,0.5852286709,0.9899361561,0.6141662377
0.006,0.5852251756,0.9899356989,0.6141664473
0.00605,0.5852216953,0.9899352418,0.6141666587
0.0061,0.5852182299,0.9899347845,0.6141668718
0.00615,0.5852147795,0.9899343272,0.6141670867
0.0062,0.5852113439,0.9899338698,0.6141673033
0.00625,0.5852079233,0.9899334124,0.6141675217
0.0063,0.5852045176,0.9899329549,0.6141677417
0.00635,0.5852011268,0.9899324973,0.6141679634
0.0064,0.5851977509,0.9899320397,0.6141681869
0.00645,0.58519439,0.989931582,0.6141684119
0.0065,0.5851910439,0.9899311243,0.6141686386
0.00655,0.5851877127,0.9899306665,0.614168867
0.0066,0.5851843964,0.9899302086,0.6141690969
0.00665,0.585181095,0.9899297507,0.6141693285
0.0067,0.5851778084,0.9899292928,0.6141695616
0.00675,0.5851745368,0.9899288347,0.6141697962
0.0068,0.58517128,0.9899283767,0.6141700324
0.00685,0.5851680381,0.9899279185,0.6141702701
0.0069,0.5851648111,0.9899274603,0.6141705092
0.00695,0.5851615989,0.9899270021,0.6141707498
0.007,0.5851584015,0.9899265438,0.6141709918
0.00705,0.5851552191,0.9899260854,0.6141712351
0.0071,0.5851520514,0.989925627,0.6141714799
0.00715,0.5851488987,0.9899251685,0.6141717259
0.0072,0.5851457607,0.98992471,0.6141719733
0.00725,0.5851426376,0.9899242514,0.6141722219
0.0073,0.5851395293,0.9899237928,0.6141724717
0.00735,0.5851364359,0.9899233341,0.6141727227
0.0074,0.5851333572,0.9899228753,0.6141729748
0.00745,0.5851302934,0.9899224165,0.6141732281
0.0075,0.5851272444,0.9899219576,0.6141734824
0.00755,0.5851242102,0.9899214987,0.6141737377
0.0076,0.5851211908,0.9899210398,0.614173994
0.00765,0.5851181863,0.9899205807,0.6141742512
0.0077,0.5851151965,0.9899201217,0.6141745093
0.00775,0.5851122215,0.9899196625,0.6141747682
0.0078,0.5851092613,0.9899192034,0.6141750279
0.00785,0.5851063159,0.9899187441,0.6141752883
0.0079,0.5851033852,0.9899182849,0.6141755494
0.00795,0.5851004694,0.9899178255,0.6141758111
0.008,0.5850975683,0.9899173661,0.6141760734
0.00805,0.5850946819,0.9899169067,0.6141763361
0.0081,0.5850918104,0.9899164472,0.6141765993
0.00815,0.5850889536,0.9899159877,0.6141768629
0.0082,0.5850861115,0.9899155281,0.6141771267
0.00825,0.5850832842,0.9899150684,0.6141773908
0.0083,0.5850804716,0.9899146087,0.614177655
0.00835,0.5850776738,0.989914149,0.6141779194
0.0084,0.5850748907,0.9899136892,0.6141781838
0.00845,0.5850721224,0.9899132293,0.6141784481
0.0085,0.5850693688,0.9899127695,0.6141787124
0.00855,0.5850666299,0.9899123095,0.6141789764
0.0086,0.5850639057,0.9899118495,0.6141792402
0.00865,0.5850611962,0.9899113895,0.6141795036
0.0087,0.5850585014,0.9899109294,0.6141797666
0.00875,0.5850558214,0.9899104693,0.6141800291
0.0088,0.585053156,0.9899100091,0.614180291
0.00885,0.5850505054,0.9899095488,0.6141805523
0.0089,0.5850478694,0.9899090886,0.6141808128
0.00895,0.5850452481,0.9899086282,0.6141810725
0.009,0.5850426415,0.9899081679,0.6141813312
0.00905,0.5850400496,0.9899077074,0.614181589
0.0091,0.5850374724,0.989907247,0.6141818457
0.00915,0.5850349098,0.9899067865,0.6141821013
0.0092,0.5850323619,0.9899063259,0.6141823556
0.00925,0.5850298287,0.9899058653,0.6141826085
