"Time","Subsystem #1|CTLs|Vars|Tm","Subsystem #1|CTLs|Vars|WPU","Subsystem #1|Machines|M1|Te_sync","Subsystem #1|Machines|M1|w_sync"
0.0,0.2056434657,0.9864107091,4.070966601E-7,0.9859107583
5.0E-5,0.2056549168,0.9864108265,4.417486558E-7,0.9859108758
1.0E-4,0.2056663665,0.9864109441,4.765389601E-7,0.9859109934
1.5E-4,0.2056778147,0.9864110618,5.114273571E-7,0.9859111113
2.0E-4,0.2056892615,0.9864111797,5.463997241E-7,0.9859112293
2.5E-4,0.2057007068,0.9864112977,5.814156625E-7,0.9859113474
3.0E-4,0.2057121506,0.986411416,6.164601716E-7,0.9859114657
3.5E-4,0.2057235929,0.9864115343,6.514927098E-7,0.9859115842
4.0E-4,0.2057350337,0.9864116528,6.864974194E-7,0.9859117028
4.5E-4,0.2057464731,0.9864117715,7.214336599E-7,0.9859118216
5.0E-4,0.2057579109,0.9864118904,7.562847431E-7,0.9859119405
5.5E-4,0.2057693473,0.9864120093,7.910099808E-7,0.9859120596
6.0E-4,0.2057807821,0.9864121285,8.255918878E-7,0.9859121788
6.5E-4,0.2057922155,0.9864122478,8.599897855E-7,0.9859122983
7.0E-4,0.2058036473,0.9864123673,8.941854322E-7,0.9859124178
7.5E-4,0.2058150776,0.9864124869,9.281382235E-7,0.9859125375
8.0E-4,0.2058265064,0.9864126067,9.618292101E-7,0.9859126574
8.5E-4,0.2058379337,0.9864127266,9.952179336E-7,0.9859127775
9.0E-4,0.2058493594,0.9864128467,1.028284795E-6,0.9859128977
9.5E-4,0.2058607837,0.986412967,1.060989561E-6,0.985913018
0.001,0.2058722063,0.9864130874,1.09331205E-6,0.9859131385
0.00105,0.2058836275,0.986413208,1.125212344E-6,0.9859132592
0.0011,0.2058950471,0.9864133287,1.156669753E-6,0.98591338
0.00115,0.2059064651,0.9864134496,1.187644772E-6,0.985913501
0.0012,0.2059178816,0.9864135707,1.218116289E-6,0.9859136222
0.00125,0.2059292965,0.9864136919,1.24804532E-6,0.9859137435
0.0013,0.2059407099,0.9864138133,1.277410426E-6,0.9859138649
0.00135,0.2059521217,0.9864139348,1.306173261E-6,0.9859139866
0.0014,0.205963532,0.9864140565,1.334312169E-6,0.9859141083
0.00145,0.2059749406,0.9864141783,1.361789567E-6,0.9859142303
0.0015,0.2059863477,0.9864143003,1.388583696E-6,0.9859143524
0.00155,0.2059977532,0.9864144224,1.414657878E-6,0.9859144746
0.0016,0.2060091572,0.9864145448,1.439990381E-6,0.985914597
0.00165,0.2060205595,0.9864146672,1.464545573E-6,0.9859147196
0.0017,0.2060319602,0.9864147899,1.488301891E-6,0.9859148423
0.00175,0.2060433594,0.9864149126,1.511224909E-6,0.9859149652
0.0018,0.2060547569,0.9864150356,1.533293379E-6,0.9859150882
0.00185,0.2060661529,0.9864151587,1.554474249E-6,0.9859152114
0.0019,0.2060775472,0.986415282,1.574746745E-6,0.9859153348
0.00195,0.2060889399,0.9864154054,1.594079367E-6,0.9859154583
0.002,0.206100331,0.9864155289,1.612451981E-6,0.985915582
0.00205,0.2061117205,0.9864156527,1.629834823E-6,0.9859157058
0.0021,0.2061231084,0.9864157766,1.646208579E-6,0.9859158298
0.00215,0.2061344946,0.9864159006,1.661545408E-6,0.9859159539
0.0022,0.2061458792,0.9864160248,1.675827003E-6,0.9859160782
0.00225,0.2061572621,0.9864161492,1.689027644E-6,0.9859162027
0.0023,0.2061686434,0.9864162737,1.701130219E-6,0.9859163273
0.00235,0.2061800231,0.9864163984,1.71211133E-6,0.9859164521
0.0024,0.2061914011,0.9864165232,1.721955253E-6,0.985916577
0.00245,0.2062027775,0.9864166482,1.730641116E-6,0.9859167021
0.0025,0.2062141522,0.9864167734,1.73815478E-6,0.9859168273
0.00255,0.2062255252,0.9864168987,1.744478103E-6,0.9859169527
0.0026,0.2062368966,0.9864170241,1.749598723E-6,0.9859170783
0.00265,0.2062482663,0.9864171498,1.753501428E-6,0.985917204
0.0027,0.2062596343,0.9864172755,1.756175828E-6,0.9859173299
0.00275,0.2062710006,0.9864174015,1.757609834E-6,0.9859174559
0.0028,0.2062823653,0.9864175276,1.757795215E-6,0.9859175821
0.00285,0.2062937283,0.9864176538,1.756723193E-6,0.9859177085
0.0029,0.2063050896,0.9864177803,1.754387868E-6,0.985917835
0.00295,0.2063164492,0.9864179068,1.750783949E-6,0.9859179616
0.003,0.2063278071,0.9864180336,1.745908032E-6,0.9859180885
0.00305,0.2063391632,0.9864181604,1.739758471E-6,0.9859182154
0.0031,0.2063505177,0.9864182875,1.732334507E-6,0.9859183426
0.00315,0.2063618705,0.9864184147,1.723638275E-6,0.9859184699
0.0032,0.2063732216,0.986418542,1.713671792E-6,0.9859185973
0.00325,0.2063845709,0.9864186696,1.702441093E-6,0.9859187249
0.0033,0.2063959185,0.9864187972,1.68995107E-6,0.9859188527
