"Time","Subsystem #1|CTLs|Vars|Tm","Subsystem #1|CTLs|Vars|WPU","Subsystem #1|Machines|M1|Te_sync","Subsystem #1|Machines|M1|w_sync"
0.004,0.252250979,1.000606939,6.344408383E-7,1.000099711
0.00405,0.2522453676,1.000606976,6.575575189E-7,1.000099748
0.0041,0.252239757,1.000607013,6.800236031E-7,1.000099785
0.00415,0.2522341473,1.00060705,7.029902613E-7,1.000099822
0.0042,0.2522285384,1.000607087,7.252872358E-7,1.000099859
0.00425,0.2522229303,1.000607124,7.48018161E-7,1.000099896
0.0043,0.2522173231,1.000607161,7.700603351E-7,1.000099932
0.00435,0.2522117168,1.000607197,7.924689163E-7,1.000099969
0.0044,0.2522061113,1.000607234,8.141698152E-7,1.000100005
0.00445,0.2522005066,1.00060727,8.361688169E-7,1.000100041
0.0045,0.2521949028,1.000607307,8.574414705E-7,1.000100078
0.00455,0.2521892999,1.000607343,8.789433324E-7,1.000100114
0.0046,0.2521836978,1.000607379,8.997005868E-7,1.00010015
0.00465,0.2521780966,1.000607415,9.206177484E-7,1.000100186
0.0047,0.2521724963,1.000607451,9.407726022E-7,1.000100222
0.00475,0.2521668968,1.000607487,9.610178515E-7,1.000100257
0.0048,0.2521612982,1.000607523,9.80483817E-7,1.000100293
0.00485,0.2521557005,1.000607559,9.99970664E-7,1.000100329
0.0049,0.2521501037,1.000607594,1.018662152E-6,1.000100364
0.00495,0.2521445077,1.00060763,1.037305226E-6,1.0001004
0.005,0.2521389126,1.000607665,1.055137957E-6,1.000100435
0.00505,0.2521333184,1.0006077,1.072853428E-6,1.00010047
0.0051,0.2521277251,1.000607736,1.089744859E-6,1.000100505
0.00515,0.2521221326,1.000607771,1.106450882E-6,1.00010054
0.0052,0.2521165411,1.000607806,1.122320667E-6,1.000100575
0.00525,0.2521109504,1.000607841,1.137937843E-6,1.00010061
0.0053,0.2521053607,1.000607876,1.152708303E-6,1.000100645
0.00535,0.2520997718,1.00060791,1.167160166E-6,1.000100679
0.0054,0.2520941838,1.000607945,1.180756779E-6,1.000100714
0.00545,0.2520885968,1.00060798,1.193970296E-6,1.000100748
0.0055,0.2520830106,1.000608014,1.206322205E-6,1.000100783
0.00555,0.2520774254,1.000608049,1.218228283E-6,1.000100817
0.0056,0.252071841,1.000608083,1.229268812E-6,1.000100851
0.00565,0.2520662576,1.000608117,1.239802822E-6,1.000100885
0.0057,0.2520606751,1.000608151,1.249469998E-6,1.000100919
0.00575,0.2520550935,1.000608185,1.258572301E-6,1.000100953
0.0058,0.2520495128,1.000608219,1.266809378E-6,1.000100987
0.00585,0.252043933,1.000608253,1.274425848E-6,1.000101021
0.0059,0.2520383542,1.000608287,1.28118183E-6,1.000101054
0.00595,0.2520327763,1.00060832,1.287264369E-6,1.000101088
0.006,0.2520271993,1.000608354,1.292494517E-6,1.000101121
0.00605,0.2520216232,1.000608387,1.297001559E-6,1.000101155
0.0061,0.2520160481,1.000608421,1.300667884E-6,1.000101188
0.00615,0.2520104739,1.000608454,1.303564876E-6,1.000101221
0.0062,0.2520049006,1.000608487,1.305636606E-6,1.000101254
0.00625,0.2519993283,1.00060852,1.306896461E-6,1.000101287
0.0063,0.2519937569,1.000608553,1.307350476E-6,1.00010132
0.00635,0.2519881865,1.000608586,1.306953984E-6,1.000101353
0.0064,0.251982617,1.000608619,1.305775205E-6,1.000101386
0.00645,0.2519770484,1.000608652,1.303711407E-6,1.000101418
0.0065,0.2519714809,1.000608684,1.30089314E-6,1.000101451
0.00655,0.2519659142,1.000608717,1.297159639E-6,1.000101483
0.0066,0.2519603485,1.000608749,1.29270386E-6,1.000101515
0.00665,0.2519547838,1.000608781,1.287307073E-6,1.000101548
0.0067,0.25194922,1.000608814,1.281224641E-6,1.00010158
0.00675,0.2519436572,1.000608846,1.274179985E-6,1.000101612
0.0068,0.2519380954,1.000608878,1.266490789E-6,1.000101644
0.00685,0.2519325345,1.00060891,1.257822778E-6,1.000101676
0.0069,0.2519269746,1.000608942,1.248555799E-6,1.000101707
0.00695,0.2519214157,1.000608974,1.23829807E-6,1.000101739
0.007,0.2519158577,1.000609005,1.227491355E-6,1.000101771
0.00705,0.2519103007,1.000609037,1.215686598E-6,1.000101802
0.0071,0.2519047447,1.000609068,1.203387146E-6,1.000101834
0.00715,0.2518991897,1.0006091,1.190086945E-6,1.000101865
0.0072,0.2518936357,1.000609131,1.176350499E-6,1.000101896
0.00725,0.2518880826,1.000609162,1.161615075E-6,1.000101927
0.0073,0.2518825305,1.000609193,1.146505824E-6,1.000101958
0.00735,0.2518769794,1.000609224,1.130403686E-6,1.000101989
0.0074,0.2518714294,1.000609255,1.113993864E-6,1.00010202
0.00745,0.2518658803,1.000609286,1.096601374E-6,1.000102051
0.0075,0.2518603322,1.000609317,1.078970779E-6,1.000102081
0.00755,0.2518547851,1.000609348,1.060371617E-6,1.000102112
0.0076,0.251849239,1.000609378,1.041607038E-6,1.000102142
0.00765,0.2518436939,1.000609409,1.021891598E-6,1.000102173
0.0077,0.2518381498,1.000609439,1.002086169E-6,1.000102203
0.00775,0.2518326067,1.000609469,9.81350872E-7,1.000102233
0.0078,0.2518270646,1.0006095,9.606033552E-7,1.000102263
0.00785,0.2518215235,1.00060953,9.389499014E-7,1.000102293
0.0079,0.2518159835,1.00060956,9.173639109E-7,1.000102323
0.00795,0.2518104445,1.00060959,8.948984825E-7,1.000102353
0.008,0.2518049064,1.00060962,8.725816643E-7,1.000102383
0.00805,0.2517993695,1.000609649,8.494140844E-7,1.000102412
0.0081,0.2517938335,1.000609679,8.264772622E-7,1.000102442
0.00815,0.2517882985,1.000609708,8.027201296E-7,1.000102471
0.0082,0.2517827646,1.000609738,7.792764317E-7,1.000102501
0.00825,0.2517772317,1.000609767,7.550442435E-7,1.00010253
