Epoch,Time (seconds)
1000,36.25368356704712
2000,72.16292452812195
3000,106.34540343284607
4000,140.637761592865
5000,173.9038541316986
6000,205.65871047973633
7000,237.3897430896759
8000,269.20145893096924
9000,300.95461869239807
10000,332.70046067237854
11000,364.4512722492218
12000,396.18945240974426
13000,427.9290075302124
14000,459.7386004924774
15000,491.4804744720459
16000,523.2391302585602
17000,554.9917438030243
18000,586.77383685112
19000,618.5760624408722
20000,650.3680844306946
21000,682.1389122009277
22000,713.8972687721252
23000,745.6920919418335
24000,777.4512355327606
25000,809.212708234787
26000,841.0822865962982
27000,873.006751537323
28000,904.7351198196411
29000,936.6929111480713
30000,968.0499863624573
31000,999.8357262611389
32000,1031.6210868358612
33000,1063.0950572490692
34000,1094.35977602005
35000,1125.6325557231903
36000,1157.3132832050323
37000,1189.5475907325745
38000,1221.3334891796112
39000,1253.119437456131
40000,1284.8732964992523
41000,1316.6827104091644
42000,1348.4410600662231
43000,1380.1805098056793
44000,1411.933111667633
45000,1443.7222328186035
46000,1475.4609773159027
47000,1507.1960110664368
48000,1538.9571142196655
49000,1570.771850824356
50000,1602.556176185608
51000,1634.3344383239746
52000,1666.1056864261627
53000,1697.9099125862122
54000,1729.6628785133362
55000,1761.4380140304565
56000,1793.224044561386
57000,1824.9564781188965
58000,1856.724693775177
59000,1888.6100978851318
60000,1920.690645456314
61000,1952.487690448761
62000,1984.2774934768677
63000,2016.0194072723389
64000,2047.763335943222
65000,2079.5393047332764
66000,2111.295554161072
67000,2143.0505905151367
68000,2174.8036098480225
69000,2206.3822202682495
70000,2238.12704706192
71000,2269.928815126419
72000,2301.951824426651
73000,2333.8230714797974
74000,2365.569519519806
75000,2397.3502295017242
76000,2429.1442501544952
77000,2460.896466255188
78000,2492.684523820877
79000,2524.4404776096344
80000,2556.153725385666
81000,2587.90904211998
82000,2619.7802832126617
83000,2651.5109322071075
84000,2683.2608263492584
85000,2715.009610414505
86000,2746.841428756714
87000,2778.592711210251
88000,2810.3221011161804
89000,2842.078383922577
90000,2873.8515038490295
91000,2905.6487226486206
92000,2937.413680791855
93000,2969.1595668792725
94000,3000.9256269931793
95000,3032.6747496128082
96000,3064.399867296219
97000,3096.173463821411
98000,3127.91610455513
99000,3159.70689535141
100000,3191.5242042541504
101000,3223.3026955127716
102000,3255.063136100769
103000,3286.7759404182434
104000,3318.574292898178
105000,3350.331132411957
106000,3382.06130361557
107000,3413.8200232982635
108000,3445.6383929252625
109000,3477.427664041519
110000,3509.227890729904
111000,3541.4439125061035
112000,3573.212662220001
113000,3605.3648834228516
114000,3637.1086933612823
115000,3668.8807463645935
116000,3700.614237546921
117000,3732.3898589611053
118000,3764.1765460968018
119000,3795.942773580551
120000,3827.7384026050568
121000,3859.5212218761444
122000,3891.2645235061646
123000,3923.0331633090973
124000,3954.809913635254
125000,3986.5805127620697
126000,4018.3352267742157
127000,4050.1174404621124
128000,4081.8716826438904
129000,4113.64710354805
130000,4145.3999655246735
131000,4176.912684440613
132000,4208.649694681168
133000,4240.3917944431305
134000,4272.133457183838
135000,4303.8701157569885
136000,4335.644075632095
137000,4367.360931158066
138000,4399.154908180237
139000,4430.945572853088
140000,4462.732162952423
141000,4494.48806643486
142000,4526.277838945389
143000,4558.025168657303
144000,4589.750203847885
145000,4621.49018573761
146000,4653.270322084427
147000,4685.026634931564
148000,4716.598051309586
149000,4748.18936419487
150000,4779.475203990936
151000,4810.794549465179
152000,4842.449741840363
153000,4874.201982975006
154000,4905.950934171677
155000,4937.715765476227
156000,4969.488710641861
157000,5001.3631939888
158000,5033.134537696838
159000,5064.881934165955
160000,5096.624475717545
161000,5128.362721920013
162000,5160.091513872147
163000,5191.865460634232
164000,5223.640846252441
165000,5255.451802492142
166000,5287.227243185043
167000,5319.031331062317
168000,5350.799327611923
169000,5382.586658477783
170000,5414.779201030731
171000,5446.557215213776
172000,5478.304352760315
173000,5510.09796500206
174000,5541.945440769196
175000,5573.6991493701935
176000,5605.45906996727
177000,5637.19689655304
178000,5668.8952922821045
179000,5700.263801813126
180000,5731.974195480347
181000,5763.755890846252
182000,5795.567205905914
183000,5827.28017115593
184000,5858.979003429413
185000,5890.714633226395
186000,5922.580516815186
187000,5955.766390800476
188000,5987.6817235946655
189000,6019.441255569458
190000,6051.512646913528
191000,6083.275842189789
192000,6115.039711236954
193000,6147.204468488693
194000,6178.97496008873
195000,6210.761424303055
196000,6242.541979312897
197000,6274.29936170578
198000,6306.06630897522
199000,6337.869304180145
200000,6369.589164495468
201000,6400.946153640747
202000,6432.384724140167
203000,6464.573880434036
204000,6496.347272872925
205000,6528.117991447449
206000,6559.846304893494
207000,6591.579047679901
208000,6623.536006450653
209000,6655.325734615326
210000,6687.084791898727
211000,6718.670873403549
212000,6750.432030677795
213000,6782.220727443695
214000,6813.991497039795
215000,6845.777508020401
216000,6877.6100730896
217000,6909.298288345337
218000,6940.623950719833
219000,6971.92330288887
220000,7003.2733471393585
221000,7034.5957903862
222000,7065.907611608505
223000,7097.211111545563
224000,7128.527398109436
225000,7159.735176086426
226000,7191.0485146045685
227000,7222.444235086441
228000,7254.005031585693
229000,7285.167541742325
230000,7316.479147434235
231000,7347.801572561264
232000,7379.103105545044
233000,7410.401899337769
234000,7442.030047178268
235000,7473.780829906464
236000,7505.536236286163
237000,7537.270293474197
238000,7569.027068376541
239000,7600.784752607346
240000,7632.573632240295
241000,7664.367961168289
242000,7696.158516168594
243000,7728.397847175598
244000,7760.191189050674
245000,7791.980314254761
246000,7823.7738301754
247000,7855.517880678177
