"Time","Subsystem #1|CTLs|Vars|Isderr8","Subsystem #1|CTLs|Vars|Isdrefongrid8","Subsystem #1|CTLs|Vars|PrefPV","Subsystem #1|CTLs|Vars|VDCerr","Subsystem #1|CTLs|Vars|udA8"
0.0028,1.856037547E-4,0.6818168427,0.3173196389,2.822643064E-5,-9.152203594E-5
0.00285,1.781894535E-4,0.6818137671,0.3173182075,2.582728819E-5,-9.170284605E-5
0.0029,1.705996487E-4,0.6818106572,0.3173167602,2.340269287E-5,-9.188823131E-5
0.00295,1.628418233E-4,0.681807516,0.3173152982,2.095503494E-5,-9.207800893E-5
0.003,1.549236251E-4,0.6818043465,0.3173138231,1.848672734E-5,-9.227199182E-5
0.00305,1.468528593E-4,0.681801152,0.3173123364,1.600020336E-5,-9.246998876E-5
0.0031,1.386374812E-4,0.6817979355,0.3173108395,1.349791421E-5,-9.267180459E-5
0.00315,1.302855875E-4,0.6817947003,0.3173093338,1.098232658E-5,-9.28772404E-5
0.0032,1.218054094E-4,0.6817914495,0.3173078208,8.455920254E-6,-9.308609372E-5
0.00325,1.132053034E-4,0.6817881864,0.3173063022,5.921185656E-6,-9.329815873E-5
0.0033,1.044937439E-4,0.6817849141,0.3173047792,3.380621379E-6,-9.351322649E-5
0.00335,9.567931473E-5,0.6817816358,0.3173032535,8.367317292E-7,-9.373108506E-5
0.0034,8.677070019E-5,0.6817783549,0.3173017266,-1.707975735E-6,-9.39515198E-5
0.00345,7.77766771E-5,0.6817750745,0.3173001999,-4.250992676E-6,-9.417431354E-5
0.0035,6.870610587E-5,0.6817717979,0.3172986749,-6.789812449E-6,-9.439924679E-5
0.00355,5.956792188E-5,0.6817685283,0.3172971532,-9.321932573E-6,-9.462609796E-5
0.0036,5.03711267E-5,0.6817652689,0.3172956363,-1.184485719E-5,-9.485464361E-5
0.00365,4.112477921E-5,0.6817620229,0.3172941256,-1.435609955E-5,-9.50846586E-5
0.0037,3.183798672E-5,0.6817587936,0.3172926227,-1.68531844E-5,-9.531591638E-5
0.00375,2.251989604E-5,0.6817555841,0.317291129,-1.933365048E-5,-9.554818918E-5
0.0038,1.317968445E-5,0.6817523976,0.317289646,-2.179505294E-5,-9.578124823E-5
0.00385,3.826550747E-6,0.6817492372,0.3172881751,-2.423496573E-5,-9.601486399E-5
0.0039,-5.530293836E-6,0.6817461061,0.3172867179,-2.665098399E-5,-9.624880641E-5
0.00395,-1.488163462E-5,0.6817430073,0.3172852757,-2.904072641E-5,-9.648284508E-5
0.004,-2.421826258E-5,0.6817399438,0.3172838499,-3.140183762E-5,-9.671674953E-5
0.00405,-3.353098337E-5,0.6817369188,0.3172824421,-3.373199047E-5,-9.695028942E-5
0.0041,-4.281062628E-5,0.6817339351,0.3172810535,-3.602888831E-5,-9.718323477E-5
0.00415,-5.204805335E-5,0.6817309958,0.3172796855,-3.82902673E-5,-9.741535618E-5
0.0042,-6.123416824E-5,0.6817281037,0.3172783395,-4.051389859E-5,-9.764642509E-5
0.00425,-7.035992522E-5,0.6817252616,0.3172770168,-4.269759056E-5,-9.787621394E-5
0.0043,-7.941633802E-5,0.6817224725,0.3172757187,-4.483919093E-5,-9.810449647E-5
0.00435,-8.839448863E-5,0.6817197389,0.3172744465,-4.693658892E-5,-9.833104787E-5
0.0044,-9.728553606E-5,0.6817170637,0.3172732014,-4.898771733E-5,-9.855564506E-5
0.00445,-1.060807251E-4,0.6817144494,0.3172719847,-5.099055452E-5,-9.877806687E-5
0.0045,-1.147713946E-4,0.6817118986,0.3172707976,-5.294312647E-5,-9.899809426E-5
0.00455,-1.233489866E-4,0.6817094139,0.3172696412,-5.484350869E-5,-9.921551057E-5
0.0046,-1.31805054E-4,0.6817069977,0.3172685167,-5.668982812E-5,-9.943010168E-5
0.00465,-1.401312693E-4,0.6817046523,0.3172674252,-5.848026496E-5,-9.964165627E-5
0.0047,-1.483194326E-4,0.6817023801,0.3172663677,-6.02130545E-5,-9.984996599E-5
0.00475,-1.563614798E-4,0.6817001834,0.3172653453,-6.188648882E-5,-1.000548257E-4
0.0048,-1.642494905E-4,0.6816980642,0.317264359,-6.349891848E-5,-1.002560336E-4
0.00485,-1.719756954E-4,0.6816960247,0.3172634098,-6.504875419E-5,-1.004533915E-4
0.0049,-1.795324845E-4,0.6816940669,0.3172624987,-6.653446828E-5,-1.006467051E-4
0.00495,-1.869124142E-4,0.6816921927,0.3172616264,-6.795459631E-5,-1.008357839E-4
0.005,-1.941082147E-4,0.681690404,0.317260794,-6.930773844E-5,-1.010204417E-4
0.00505,-2.011127973E-4,0.6816887025,0.3172600021,-7.059256084E-5,-1.012004965E-4
0.0051,-2.07919261E-4,0.6816870899,0.3172592516,-7.1807797E-5,-1.01375771E-4
0.00515,-2.145208998E-4,0.6816855679,0.3172585432,-7.295224899E-5,-1.015460925E-4
0.0052,-2.209112087E-4,0.6816841378,0.3172578776,-7.40247886E-5,-1.017112931E-4
0.00525,-2.270838907E-4,0.6816828011,0.3172572555,-7.502435849E-5,-1.018712101E-4
0.0053,-2.330328624E-4,0.6816815591,0.3172566775,-7.594997323E-5,-1.020256859E-4
0.00535,-2.387522606E-4,0.6816804131,0.3172561441,-7.680072024E-5,-1.021745681E-4
0.0054,-2.442364476E-4,0.6816793641,0.317255656,-7.757576074E-5,-1.023177102E-4
0.00545,-2.494800169E-4,0.6816784133,0.3172552134,-7.827433053E-5,-1.024549709E-4
0.0055,-2.544777987E-4,0.6816775615,0.317254817,-7.889574077E-5,-1.025862149E-4
0.00555,-2.592248646E-4,0.6816768096,0.3172544671,-7.943937866E-5,-1.027113128E-4
0.0056,-2.637165329E-4,0.6816761584,0.317254164,-7.990470801E-5,-1.028301413E-4
0.00565,-2.679483731E-4,0.6816756084,0.317253908,-8.029126983E-5,-1.029425831E-4
0.0057,-2.7191621E-4,0.6816751602,0.3172536994,-8.059868273E-5,-1.030485273E-4
0.00575,-2.756161282E-4,0.6816748143,0.3172535385,-8.082664332E-5,-1.031478695E-4
0.0058,-2.790444757E-4,0.681674571,0.3172534252,-8.097492652E-5,-1.032405114E-4
0.00585,-2.821978677E-4,0.6816744305,0.3172533598,-8.104338576E-5,-1.033263617E-4
0.0059,-2.8507319E-4,0.681674393,0.3172533424,-8.103195313E-5,-1.034053357E-4
0.00595,-2.876676016E-4,0.6816744585,0.3172533729,-8.094063948E-5,-1.034773552E-4
0.006,-2.899785384E-4,0.681674627,0.3172534513,-8.076953437E-5,-1.035423492E-4
0.00605,-2.920037149E-4,0.6816748983,0.3172535775,-8.051880599E-5,-1.036002534E-4
0.0061,-2.93741127E-4,0.681675272,0.3172537515,-8.018870103E-5,-1.036510105E-4
