"Time","Subsystem #1|CTLs|Vars|Isderr8","Subsystem #1|CTLs|Vars|Isdrefongrid8","Subsystem #1|CTLs|Vars|PrefPV","Subsystem #1|CTLs|Vars|VDCerr","Subsystem #1|CTLs|Vars|udA8"
0.0027,6.881228032E-5,0.6820534976,0.3174297788,4.458061875E-5,-9.592065945E-5
0.00275,7.649290984E-5,0.6820559887,0.3174309382,4.649008859E-5,-9.572682739E-5
0.0028,8.409801313E-5,0.6820584218,0.3174320705,4.835368068E-5,-9.553469242E-5
0.00285,9.162007424E-5,0.6820607946,0.3174331748,5.016955485E-5,-9.534444441E-5
0.0029,9.905168461E-5,0.6820631047,0.31743425,5.193591803E-5,-9.515627076E-5
0.00295,1.063854573E-4,0.6820653498,0.3174352949,5.365102604E-5,-9.497035847E-5
0.003,1.136141384E-4,0.6820675278,0.3174363085,5.531318523E-5,-9.478689145E-5
0.00305,1.207306151E-4,0.6820696365,0.3174372899,5.692075425E-5,-9.460605022E-5
0.0031,1.277278184E-4,0.6820716737,0.317438238,5.847214564E-5,-9.44280144E-5
0.00315,1.345988281E-4,0.6820736376,0.317439152,5.996582738E-5,-9.425296007E-5
0.0032,1.413368859E-4,0.6820755261,0.3174400309,6.140032442E-5,-9.408105943E-5
0.00325,1.479352983E-4,0.6820773373,0.3174408739,6.277422016E-5,-9.391248321E-5
0.0033,1.543875403E-4,0.6820790695,0.3174416801,6.408615781E-5,-9.374739813E-5
0.00335,1.606872688E-4,0.6820807211,0.3174424487,6.533484179E-5,-9.358596648E-5
0.0034,1.668282249E-4,0.6820822902,0.317443179,6.651903893E-5,-9.342834863E-5
0.00345,1.728043369E-4,0.6820837755,0.3174438702,6.763757977E-5,-9.327470042E-5
0.0035,1.78609734E-4,0.6820851754,0.3174445218,6.868935967E-5,-9.312517281E-5
0.00355,1.842386472E-4,0.6820864886,0.3174451329,6.967333992E-5,-9.297991438E-5
0.0036,1.896855127E-4,0.6820877137,0.3174457031,7.058854876E-5,-9.283906868E-5
0.00365,1.949449842E-4,0.6820888495,0.3174462317,7.143408237E-5,-9.270277401E-5
0.0037,2.000118343E-4,0.682089895,0.3174467183,7.220910571E-5,-9.25711658E-5
0.00375,2.048810562E-4,0.682090849,0.3174471623,7.291285339E-5,-9.244437409E-5
0.0038,2.095478765E-4,0.6820917107,0.3174475633,7.354463042E-5,-9.232252322E-5
0.00385,2.140076552E-4,0.6820924792,0.317447921,7.41038129E-5,-9.220573431E-5
0.0039,2.182559874E-4,0.6820931537,0.3174482349,7.458984861E-5,-9.20941227E-5
0.00395,2.222887153E-4,0.6820937336,0.3174485048,7.50022576E-5,-9.19877977E-5
0.004,2.261018272E-4,0.6820942183,0.3174487304,7.534063261E-5,-9.188686501E-5
0.00405,2.296915595E-4,0.6820946073,0.3174489114,7.560463954E-5,-9.179142429E-5
0.0041,2.330544067E-4,0.6820949002,0.3174490477,7.579401772E-5,-9.170156878E-5
0.00415,2.361870212E-4,0.6820950968,0.3174491392,7.590858021E-5,-9.16173879E-5
0.0042,2.390863136E-4,0.6820951969,0.3174491858,7.594821396E-5,-9.153896467E-5
0.00425,2.417494625E-4,0.6820952003,0.3174491874,7.591287993E-5,-9.14663755E-5
0.0043,2.441738134E-4,0.682095107,0.317449144,7.580261312E-5,-9.139969269E-5
0.00435,2.463569784E-4,0.6820949172,0.3174490556,7.561752255E-5,-9.133898193E-5
0.0044,2.482968453E-4,0.682094631,0.3174489224,7.535779116E-5,-9.128430208E-5
0.00445,2.499914758E-4,0.6820942487,0.3174487445,7.502367557E-5,-9.123570771E-5
0.0045,2.514392045E-4,0.6820937707,0.3174485221,7.461550591E-5,-9.119324661E-5
0.00455,2.526386472E-4,0.6820931975,0.3174482553,7.413368543E-5,-9.115695957E-5
0.0046,2.535885984E-4,0.6820925296,0.3174479444,7.357869013E-5,-9.112688295E-5
0.00465,2.542881294E-4,0.6820917677,0.3174475898,7.295106827E-5,-9.110304621E-5
0.0047,2.547365965E-4,0.6820909126,0.3174471918,7.225143984E-5,-9.108547173E-5
0.00475,2.54933537E-4,0.682089965,0.3174467508,7.148049595E-5,-9.107417734E-5
0.0048,2.548787669E-4,0.6820889259,0.3174462673,7.063899812E-5,-9.106917394E-5
0.00485,2.545723882E-4,0.6820877964,0.3174457416,6.972777755E-5,-9.107046527E-5
0.0049,2.540146845E-4,0.6820865776,0.3174451743,6.87477343E-5,-9.107805052E-5
0.00495,2.532062179E-4,0.6820852706,0.3174445661,6.769983638E-5,-9.109192193E-5
0.005,2.521478329E-4,0.6820838768,0.3174439174,6.65851188E-5,-9.111206463E-5
0.00505,2.508405362E-4,0.6820823975,0.3174432289,6.540468254E-5,-9.113845969E-5
0.0051,2.492856309E-4,0.6820808342,0.3174425013,6.415969346E-5,-9.117108074E-5
0.00515,2.474847409E-4,0.6820791884,0.3174417354,6.285138118E-5,-9.120989337E-5
0.0052,2.454396396E-4,0.6820774619,0.3174409319,6.148103781E-5,-9.125485934E-5
0.00525,2.431523333E-4,0.6820756561,0.3174400915,6.005001668E-5,-9.13059346E-5
0.0053,2.406250981E-4,0.6820737731,0.3174392151,5.855973105E-5,-9.136306826E-5
0.00535,2.378604714E-4,0.6820718146,0.3174383036,5.701165264E-5,-9.142620286E-5
0.0054,2.348611573E-4,0.6820697825,0.3174373578,5.540731024E-5,-9.14952767E-5
0.00545,2.316301272E-4,0.6820676788,0.3174363788,5.374828814E-5,-9.157022131E-5
0.0055,2.281706178E-4,0.6820655057,0.3174353674,5.203622461E-5,-9.165096154E-5
0.00555,2.24486024E-4,0.6820632653,0.3174343247,5.027281027E-5,-9.173741818E-5
0.0056,2.205799925E-4,0.6820609597,0.3174332517,4.845978639E-5,-9.182950564E-5
0.00565,2.164564254E-4,0.6820585914,0.3174321495,4.659894319E-5,-9.192713186E-5
0.0057,2.121193719E-4,0.6820561625,0.3174310191,4.469211806E-5,-9.203020101E-5
0.00575,2.07573121E-4,0.6820536755,0.3174298616,4.274119377E-5,-9.213861112E-5
0.0058,2.028222051E-4,0.6820511329,0.3174286783,4.074809655E-5,-9.225225408E-5
0.00585,1.978712906E-4,0.6820485372,0.3174274702,3.871479425E-5,-9.237101828E-5
0.0059,1.927252707E-4,0.6820458909,0.3174262386,3.664329434E-5,-9.249478632E-5
0.00595,1.873892673E-4,0.6820431967,0.3174249847,3.453564196E-5,-9.262343497E-5
0.006,1.818685223E-4,0.6820404571,0.3174237097,3.23939179E-5,-9.275683788E-5
0.00605,1.761684888E-4,0.682037675,0.3174224149,3.022023651E-5,-9.289486326E-5
0.0061,1.702948333E-4,0.682034853,0.3174211016,2.801674365E-5,-9.303737385E-5
0.00615,1.642533256E-4,0.6820319939,0.3174197709,2.578561453E-5,-9.31842297E-5
0.0062,1.580499305E-4,0.6820291007,0.3174184244,2.35290516E-5,-9.333528579E-5
0.00625,1.516908084E-4,0.682026176,0.3174170633,2.124928236E-5,-9.349039208E-5
0.0063,1.451822057E-4,0.6820232228,0.3174156889,1.894855715E-5,-9.364939624E-5
0.00635,1.385305454E-4,0.6820202441,0.3174143025,1.662914692E-5,-9.381214134E-5
0.0064,1.317424276E-4,0.6820172428,0.3174129057,1.429334102E-5,-9.397846588E-5
0.00645,1.248245193E-4,0.6820142217,0.3174114997,1.194344491E-5,-9.41482065E-5
0.0065,1.177836445E-4,0.682011184,0.3174100859,9.581777897E-6,-9.432119577E-5
0.00655,1.10626785E-4,0.6820081325,0.3174086658,7.210670843E-6,-9.449726213E-5
0.0066,1.033609687E-4,0.6820050704,0.3174072407,4.832463858E-6,-9.467623269E-5
0.00665,9.599336039E-5,0.6820020007,0.317405812,2.449503999E-6,-9.485793097E-5
0.0067,8.853126136E-5,0.6819989262,0.3174043811,6.414294873E-8,-9.504217689E-5
0.00675,8.098199821E-5,0.6819958502,0.3174029496,-2.321265305E-6,-9.522878956E-5
0.0068,7.33530128E-5,0.6819927757,0.3174015186,-4.70436679E-6,-9.541758501E-5
0.00685,6.565186188E-5,0.6819897056,0.3174000898,-7.082809875E-6,-9.560837622E-5
0.0069,5.788610544E-5,0.681986643,0.3173986645,-9.454247587E-6,-9.580097591E-5
0.00695,5.00633966E-5,0.6819835909,0.317397244,-1.181633993E-5,-9.599519427E-5
0.007,4.219148099E-5,0.6819805523,0.3173958299,-1.416675619E-5,-9.619083898E-5
0.00705,3.42780849E-5,0.6819775303,0.3173944234,-1.650317723E-5,-9.638771801E-5
0.0071,2.633100505E-5,0.6819745278,0.317393026,-1.882329779E-5,-9.65856374E-5
0.00715,1.835810786E-5,0.6819715478,0.3173916391,-2.112482874E-5,-9.678440122E-5
0.0072,1.036721737E-5,0.6819685932,0.3173902641,-2.340549935E-5,-9.698381442E-5
0.00725,2.366205085E-6,0.6819656669,0.3173889022,-2.566305954E-5,-9.718368056E-5
0.0073,-5.637010949E-6,0.6819627719,0.3173875548,-2.789528208E-5,-9.738380185E-5
0.00735,-1.363457822E-5,0.6819599109,0.3173862233,-3.009996477E-5,-9.758398193E-5
0.0074,-2.161861993E-5,0.6819570868,0.3173849089,-3.227493265E-5,-9.778402364E-5
0.00745,-2.958123589E-5,0.6819543024,0.3173836131,-3.441804013E-5,-9.798372904E-5
0.0075,-3.751461466E-5,0.6819515604,0.317382337,-3.652717307E-5,-9.818290221E-5
0.00755,-4.541094359E-5,0.6819488636,0.3173810818,-3.860025092E-5,-9.8381347E-5
0.0076,-5.32624116E-5,0.6819462146,0.317379849,-4.063522872E-5,-9.857886712E-5
0.00765,-6.106134084E-5,0.6819436159,0.3173786396,-4.263009915E-5,-9.87752694E-5
