"Time","Subsystem #1|CTLs|Vars|Isderr8","Subsystem #1|CTLs|Vars|Isdrefongrid8","Subsystem #1|CTLs|Vars|PrefPV","Subsystem #1|CTLs|Vars|VDCerr","Subsystem #1|CTLs|Vars|udA8"
0.00275,1.994657432E-4,0.6820910531,0.3174472573,7.211335883E-5,-9.258588682E-5
0.0028,2.043569097E-4,0.6820920173,0.317447706,7.282497262E-5,-9.245855987E-5
0.00285,2.090461919E-4,0.6820928891,0.3174481118,7.346468815E-5,-9.233616028E-5
0.0029,2.135289276E-4,0.6820936679,0.3174484742,7.403187369E-5,-9.221880969E-5
0.00295,2.178006892E-4,0.6820943528,0.3174487929,7.452596912E-5,-9.210662403E-5
0.003,2.218572955E-4,0.6820949431,0.3174490677,7.494648651E-5,-9.199971315E-5
0.00305,2.256947113E-4,0.6820954382,0.3174492981,7.529301063E-5,-9.189818335E-5
0.0031,2.293091488E-4,0.6820958378,0.3174494841,7.556519929E-5,-9.180213486E-5
0.00315,2.326970781E-4,0.6820961413,0.3174496253,7.576278377E-5,-9.171166155E-5
0.0032,2.358551268E-4,0.6820963484,0.3174497217,7.588556901E-5,-9.162685343E-5
0.00325,2.387801802E-4,0.6820964591,0.3174497732,7.593343384E-5,-9.154779415E-5
0.0033,2.414693914E-4,0.6820964731,0.3174497797,7.590633109E-5,-9.147456075E-5
0.00335,2.439200801E-4,0.6820963904,0.3174497413,7.580428764E-5,-9.140722617E-5
0.0034,2.461298323E-4,0.6820962112,0.3174496578,7.562740439E-5,-9.134585674E-5
0.00345,2.480965095E-4,0.6820959355,0.3174495296,7.537585615E-5,-9.129051198E-5
0.0035,2.49818147E-4,0.6820955638,0.3174493566,7.504989148E-5,-9.124124711E-5
0.00355,2.512930524E-4,0.6820950963,0.317449139,7.464983246E-5,-9.119811058E-5
0.0036,2.525198147E-4,0.6820945335,0.317448877,7.417607432E-5,-9.116114386E-5
0.00365,2.534972014E-4,0.6820938759,0.317448571,7.36290851E-5,-9.113038398E-5
0.0037,2.542242568E-4,0.6820931243,0.3174482212,7.300940516E-5,-9.110586108E-5
0.00375,2.547003097E-4,0.6820922793,0.3174478279,7.231764665E-5,-9.10875982E-5
0.0038,2.549248703E-4,0.6820913418,0.3174473916,7.155449289E-5,-9.107561387E-5
0.00385,2.548977273E-4,0.6820903128,0.3174469127,7.072069773E-5,-9.106991966E-5
0.0039,2.546189553E-4,0.6820891931,0.3174463916,6.981708476E-5,-9.107052E-5
0.00395,2.540888108E-4,0.682087984,0.3174458289,6.884454652E-5,-9.107741477E-5
0.004,2.533078283E-4,0.6820866866,0.3174452251,6.780404361E-5,-9.109059687E-5
0.00405,2.522768276E-4,0.6820853022,0.3174445808,6.669660374E-5,-9.111005208E-5
