Epoch,Time (seconds)
1000,15.552267789840698
2000,31.45844602584839
3000,47.91722106933594
4000,63.844486951828
5000,80.0913016796112
6000,96.44782137870789
7000,109.831369638443
8000,122.88504576683044
9000,135.9720914363861
10000,149.20785522460938
11000,162.48656368255615
12000,175.67067003250122
13000,188.71781468391418
14000,201.39062571525574
15000,214.53810167312622
16000,227.63402676582336
17000,240.74828267097473
18000,253.85159420967102
19000,266.89948201179504
20000,279.9595899581909
21000,292.94328570365906
22000,306.07981514930725
23000,319.0956382751465
24000,332.1063070297241
25000,345.1047246456146
26000,358.0822150707245
27000,371.4628949165344
28000,384.6382086277008
29000,397.67096972465515
30000,410.7456274032593
31000,423.8250079154968
32000,437.0795385837555
33000,450.3902690410614
34000,463.7204701900482
35000,477.16569805145264
36000,490.56040358543396
37000,504.0530095100403
38000,517.3889300823212
39000,530.5272119045258
40000,543.7305991649628
41000,556.8972306251526
42000,570.1607406139374
43000,583.5097448825836
44000,596.6458885669708
45000,609.7607455253601
46000,622.7547104358673
47000,635.7502105236053
48000,648.7405195236206
49000,661.8339884281158
50000,674.9788672924042
51000,687.963615655899
52000,701.0612487792969
53000,714.2578399181366
54000,727.2973690032959
55000,740.389790058136
56000,753.409797668457
57000,766.5939841270447
58000,779.6597123146057
59000,792.64888048172
60000,805.906156539917
61000,819.032387971878
62000,832.2959170341492
63000,845.4248638153076
64000,858.6014482975006
65000,871.7150375843048
66000,884.7963993549347
67000,898.0710272789001
68000,911.2891116142273
69000,924.3121607303619
70000,937.408061504364
71000,950.4217076301575
72000,963.39235496521
73000,976.500209569931
74000,989.5728340148926
75000,1002.8312275409698
76000,1015.9108765125275
77000,1028.9894289970398
78000,1042.0733201503754
79000,1055.126855134964
80000,1068.1095583438873
81000,1081.118886232376
82000,1094.3468325138092
83000,1107.5074932575226
84000,1120.5895240306854
85000,1133.6184117794037
86000,1146.6874375343323
87000,1159.9309482574463
88000,1173.0491833686829
89000,1186.0674700737
90000,1199.066015958786
91000,1212.2864513397217
92000,1225.3137493133545
93000,1238.4159939289093
94000,1251.5360960960388
95000,1264.6327159404755
96000,1277.7997093200684
97000,1290.8945667743683
98000,1303.9978580474854
99000,1317.0739018917084
100000,1330.2837748527527
101000,1343.4996602535248
102000,1356.5926167964935
103000,1369.922928094864
104000,1383.0914826393127
105000,1396.1555778980255
106000,1409.1936950683594
107000,1422.3080744743347
108000,1435.3071353435516
109000,1448.291184425354
110000,1461.2786247730255
111000,1474.2684915065765
112000,1487.3943264484406
113000,1500.4915330410004
114000,1513.4534907341003
115000,1526.4288876056671
116000,1539.4868643283844
117000,1552.510461807251
118000,1565.6337025165558
119000,1578.6079947948456
120000,1591.6320970058441
121000,1604.6513080596924
122000,1617.851844072342
123000,1631.0162646770477
124000,1644.0492491722107
125000,1657.1314413547516
126000,1670.1754913330078
127000,1683.1415150165558
128000,1696.3943312168121
129000,1709.474037885666
130000,1722.8449087142944
131000,1736.0779287815094
132000,1749.2262020111084
133000,1762.4156517982483
134000,1775.5432577133179
135000,1788.5443992614746
136000,1801.6931321620941
137000,1814.8838348388672
138000,1828.2130393981934
139000,1841.2641139030457
140000,1854.4536139965057
141000,1867.666103363037
142000,1880.7924070358276
143000,1893.906448841095
144000,1907.0477097034454
145000,1920.211882352829
146000,1933.3574335575104
147000,1946.5208480358124
148000,1959.6171510219574
149000,1972.6651751995087
150000,1985.7738320827484
151000,1998.801971912384
152000,2011.9460821151733
153000,2024.990243434906
154000,2038.091551065445
155000,2051.3183715343475
156000,2064.3741455078125
157000,2077.6189222335815
158000,2090.8794581890106
159000,2104.19442486763
160000,2117.3666903972626
161000,2130.537777662277
162000,2143.5299446582794
163000,2156.5799016952515
164000,2169.6292424201965
165000,2182.792228937149
166000,2195.953085422516
167000,2209.101719856262
168000,2222.1546301841736
169000,2235.370545864105
170000,2248.470982313156
171000,2261.6942234039307
172000,2274.7727489471436
173000,2287.8726456165314
174000,2301.116096496582
175000,2314.3418192863464
176000,2327.572697162628
177000,2340.7042677402496
178000,2353.699913263321
179000,2366.6479456424713
180000,2379.7635023593903
181000,2392.810584306717
182000,2405.9894301891327
183000,2419.0647706985474
184000,2432.1178369522095
185000,2445.186408519745
186000,2458.362223148346
187000,2471.4174633026123
188000,2484.4608266353607
189000,2497.4308619499207
190000,2510.6189289093018
191000,2523.688975095749
192000,2536.761245727539
193000,2549.8425192832947
194000,2562.7694973945618
195000,2575.8102271556854
196000,2588.925530433655
197000,2601.985794067383
198000,2615.1798379421234
199000,2628.364054918289
200000,2641.4607877731323
201000,2654.4812116622925
202000,2667.626737356186
203000,2680.804296016693
204000,2693.8091208934784
205000,2706.7946014404297
206000,2719.905567407608
207000,2733.134133338928
208000,2746.203353404999
209000,2759.194617509842
210000,2772.209022283554
211000,2785.3263869285583
212000,2798.3270392417908
213000,2811.438127756119
214000,2824.6084661483765
215000,2837.6374492645264
216000,2850.9007585048676
217000,2864.0452983379364
218000,2877.090764284134
219000,2890.0913779735565
220000,2903.193601131439
221000,2916.2939405441284
222000,2929.256034374237
223000,2942.445086479187
224000,2955.5047855377197
225000,2968.65341591835
226000,2981.7518577575684
227000,2994.713237762451
228000,3007.7315158843994
229000,3020.8127534389496
230000,3034.1797466278076
231000,3047.3256623744965
232000,3060.298527956009
233000,3073.298763990402
234000,3086.4441566467285
235000,3099.5325961112976
236000,3112.7288856506348
237000,3125.8982384204865
238000,3138.946273088455
239000,3151.9415471553802
240000,3165.131096124649
241000,3178.2354209423065
242000,3191.3845541477203
243000,3204.4579339027405
