32000 [9.57e-01, 7.95e+00]
32200 [9.57e-01, 7.97e+00]
32400 [9.57e-01, 8.00e+00]
32600 [9.56e-01, 8.02e+00]
32800 [9.56e-01, 8.04e+00]
33000 [9.56e-01, 8.06e+00]
33200 [9.56e-01, 8.08e+00]
33400 [9.56e-01, 8.11e+00]
33600 [9.56e-01, 8.13e+00]
33800 [9.55e-01, 8.15e+00]
34000 [9.55e-01, 8.17e+00]
34200 [9.55e-01, 8.19e+00]
34400 [9.55e-01, 8.21e+00]
34600 [9.55e-01, 8.23e+00]
34800 [9.54e-01, 8.25e+00]
35000 [9.54e-01, 8.27e+00]
35200 [9.54e-01, 8.29e+00]
35400 [9.54e-01, 8.31e+00]
35600 [9.54e-01, 8.33e+00]
35800 [9.54e-01, 8.35e+00]
36000 [9.53e-01, 8.38e+00]
36200 [9.53e-01, 8.40e+00]
36400 [9.53e-01, 8.42e+00]
36600 [9.53e-01, 8.44e+00]
36800 [9.53e-01, 8.45e+00]
37000 [9.53e-01, 8.47e+00]
37200 [9.52e-01, 8.49e+00]
37400 [9.52e-01, 8.50e+00]
37600 [9.52e-01, 8.52e+00]
37800 [9.52e-01, 8.54e+00]
38000 [9.52e-01, 8.56e+00]
38200 [9.52e-01, 8.58e+00]
38400 [9.51e-01, 8.60e+00]
38600 [9.51e-01, 8.62e+00]
38800 [9.51e-01, 8.64e+00]
39000 [9.51e-01, 8.67e+00]
39200 [9.51e-01, 8.69e+00]
39400 [9.51e-01, 8.71e+00]
39600 [9.50e-01, 8.73e+00]
39800 [9.50e-01, 8.75e+00]
40000 [9.50e-01, 8.77e+00]
40200 [9.50e-01, 8.78e+00]
40400 [9.50e-01, 8.80e+00]
40600 [9.49e-01, 8.82e+00]
40800 [9.49e-01, 8.84e+00]
41000 [9.49e-01, 8.86e+00]
41200 [9.49e-01, 8.88e+00]
41400 [9.49e-01, 8.90e+00]
41600 [9.49e-01, 8.91e+00]
41800 [9.49e-01, 8.93e+00]
42000 [9.49e-01, 8.95e+00]
42200 [9.48e-01, 8.96e+00]
42400 [9.48e-01, 8.98e+00]
42600 [9.48e-01, 9.00e+00]
42800 [9.48e-01, 9.02e+00]
43000 [9.48e-01, 9.03e+00]
43200 [9.48e-01, 9.05e+00]
43400 [9.48e-01, 9.06e+00]
43600 [9.48e-01, 9.08e+00]
43800 [9.48e-01, 9.10e+00]
44000 [9.48e-01, 9.11e+00]
44200 [9.48e-01, 9.13e+00]
44400 [9.47e-01, 9.14e+00]
44600 [9.47e-01, 9.16e+00]
44800 [9.47e-01, 9.17e+00]
45000 [9.47e-01, 9.19e+00]
45200 [9.47e-01, 9.20e+00]
45400 [9.47e-01, 9.22e+00]
45600 [9.47e-01, 9.24e+00]
45800 [9.47e-01, 9.25e+00]
46000 [9.47e-01, 9.27e+00]
46200 [9.47e-01, 9.28e+00]
46400 [9.46e-01, 9.30e+00]
46600 [9.46e-01, 9.32e+00]
46800 [9.46e-01, 9.33e+00]
47000 [9.46e-01, 9.35e+00]
47200 [9.46e-01, 9.37e+00]
47400 [9.46e-01, 9.38e+00]
47600 [9.46e-01, 9.40e+00]
47800 [9.46e-01, 9.41e+00]
48000 [9.46e-01, 9.43e+00]
48200 [9.45e-01, 9.45e+00]
48400 [9.45e-01, 9.46e+00]
48600 [9.45e-01, 9.48e+00]
48800 [9.45e-01, 9.49e+00]
49000 [9.45e-01, 9.51e+00]
49200 [9.45e-01, 9.53e+00]
49400 [9.45e-01, 9.54e+00]
49600 [9.45e-01, 9.56e+00]
49800 [9.45e-01, 9.57e+00]
50000 [9.45e-01, 9.59e+00]
50200 [9.44e-01, 9.60e+00]
50400 [9.44e-01, 9.62e+00]
50600 [9.44e-01, 9.63e+00]
50800 [9.44e-01, 9.65e+00]
51000 [9.44e-01, 9.66e+00]
51200 [9.44e-01, 9.68e+00]
51400 [9.44e-01, 9.69e+00]
51600 [9.44e-01, 9.71e+00]
51800 [9.44e-01, 9.72e+00]
52000 [9.43e-01, 9.74e+00]
52200 [9.43e-01, 9.75e+00]
52400 [9.43e-01, 9.77e+00]
52600 [9.43e-01, 9.78e+00]
52800 [9.43e-01, 9.80e+00]
53000 [9.43e-01, 9.81e+00]
53200 [9.43e-01, 9.82e+00]
53400 [9.43e-01, 9.84e+00]
53600 [9.43e-01, 9.85e+00]
53800 [9.43e-01, 9.87e+00]
54000 [9.42e-01, 9.88e+00]
54200 [9.42e-01, 9.90e+00]
54400 [9.42e-01, 9.91e+00]
54600 [9.42e-01, 9.92e+00]
54800 [9.42e-01, 9.94e+00]
55000 [9.42e-01, 9.95e+00]
55200 [9.42e-01, 9.96e+00]
55400 [9.42e-01, 9.98e+00]
55600 [9.42e-01, 9.99e+00]
55800 [9.42e-01, 1.00e+01]
56000 [9.42e-01, 1.00e+01]
56200 [9.41e-01, 1.00e+01]
56400 [9.41e-01, 1.00e+01]
56600 [9.41e-01, 1.01e+01]
56800 [9.41e-01, 1.01e+01]
57000 [9.41e-01, 1.01e+01]
57200 [9.41e-01, 1.01e+01]
57400 [9.41e-01, 1.01e+01]
57600 [9.41e-01, 1.01e+01]
57800 [9.41e-01, 1.01e+01]
58000 [9.41e-01, 1.01e+01]
58200 [9.41e-01, 1.02e+01]
58400 [9.41e-01, 1.02e+01]
58600 [9.41e-01, 1.02e+01]
58800 [9.40e-01, 1.02e+01]
59000 [9.40e-01, 1.02e+01]
59200 [9.40e-01, 1.02e+01]
59400 [9.40e-01, 1.02e+01]
59600 [9.40e-01, 1.02e+01]
59800 [9.40e-01, 1.03e+01]
60000 [9.40e-01, 1.03e+01]
60200 [9.40e-01, 1.03e+01]
60400 [9.40e-01, 1.03e+01]
60600 [9.40e-01, 1.03e+01]
60800 [9.40e-01, 1.03e+01]
61000 [9.40e-01, 1.03e+01]
61200 [9.40e-01, 1.03e+01]
61400 [9.40e-01, 1.04e+01]
61600 [9.39e-01, 1.04e+01]
61800 [9.39e-01, 1.04e+01]
62000 [9.39e-01, 1.04e+01]
62200 [9.39e-01, 1.04e+01]
62400 [9.39e-01, 1.04e+01]
62600 [9.39e-01, 1.04e+01]
62800 [9.39e-01, 1.04e+01]
63000 [9.39e-01, 1.04e+01]
63200 [9.39e-01, 1.05e+01]
63400 [9.39e-01, 1.05e+01]
63600 [9.39e-01, 1.05e+01]
63800 [9.39e-01, 1.05e+01]
64000 [9.39e-01, 1.05e+01]
64200 [9.39e-01, 1.05e+01]
64400 [9.39e-01, 1.05e+01]
64600 [9.39e-01, 1.05e+01]
64800 [9.39e-01, 1.05e+01]
65000 [9.39e-01, 1.06e+01]
65200 [9.38e-01, 1.06e+01]
65400 [9.38e-01, 1.06e+01]
65600 [9.38e-01, 1.06e+01]
65800 [9.38e-01, 1.06e+01]
66000 [9.38e-01, 1.06e+01]
66200 [9.38e-01, 1.06e+01]
66400 [9.38e-01, 1.06e+01]
66600 [9.38e-01, 1.06e+01]
66800 [9.38e-01, 1.07e+01]
67000 [9.38e-01, 1.07e+01]
67200 [9.38e-01, 1.07e+01]
67400 [9.38e-01, 1.07e+01]
67600 [9.38e-01, 1.07e+01]
67800 [9.38e-01, 1.07e+01]
68000 [9.38e-01, 1.07e+01]
68200 [9.38e-01, 1.07e+01]
68400 [9.38e-01, 1.07e+01]
68600 [9.38e-01, 1.08e+01]
68800 [9.37e-01, 1.08e+01]
69000 [9.37e-01, 1.08e+01]
69200 [9.37e-01, 1.08e+01]
69400 [9.37e-01, 1.08e+01]
69600 [9.37e-01, 1.08e+01]
69800 [9.37e-01, 1.08e+01]
70000 [9.37e-01, 1.08e+01]
70200 [9.37e-01, 1.08e+01]
70400 [9.37e-01, 1.09e+01]
70600 [9.37e-01, 1.09e+01]
70800 [9.37e-01, 1.09e+01]
71000 [9.37e-01, 1.09e+01]
71200 [9.37e-01, 1.09e+01]
71400 [9.37e-01, 1.09e+01]
71600 [9.37e-01, 1.09e+01]
71800 [9.37e-01, 1.09e+01]
72000 [9.37e-01, 1.09e+01]
72200 [9.37e-01, 1.10e+01]
72400 [9.36e-01, 1.10e+01]
72600 [9.36e-01, 1.10e+01]
72800 [9.36e-01, 1.10e+01]
73000 [9.36e-01, 1.10e+01]
73200 [9.36e-01, 1.10e+01]
73400 [9.36e-01, 1.10e+01]
73600 [9.36e-01, 1.10e+01]
73800 [9.36e-01, 1.10e+01]
74000 [9.36e-01, 1.10e+01]
74200 [9.36e-01, 1.11e+01]
74400 [9.36e-01, 1.11e+01]
74600 [9.36e-01, 1.11e+01]
74800 [9.36e-01, 1.11e+01]
75000 [9.36e-01, 1.11e+01]
75200 [9.36e-01, 1.11e+01]
75400 [9.36e-01, 1.11e+01]
75600 [9.36e-01, 1.11e+01]
75800 [9.35e-01, 1.11e+01]
76000 [9.35e-01, 1.11e+01]
76200 [9.35e-01, 1.12e+01]
76400 [9.35e-01, 1.12e+01]
76600 [9.35e-01, 1.12e+01]
76800 [9.35e-01, 1.12e+01]
77000 [9.35e-01, 1.12e+01]
77200 [9.35e-01, 1.12e+01]
77400 [9.35e-01, 1.12e+01]
77600 [9.35e-01, 1.12e+01]
77800 [9.35e-01, 1.12e+01]
78000 [9.35e-01, 1.13e+01]
78200 [9.35e-01, 1.13e+01]
78400 [9.35e-01, 1.13e+01]
78600 [9.34e-01, 1.13e+01]
78800 [9.34e-01, 1.13e+01]
79000 [9.34e-01, 1.13e+01]
79200 [9.34e-01, 1.13e+01]
79400 [9.34e-01, 1.13e+01]
79600 [9.34e-01, 1.13e+01]
79800 [9.34e-01, 1.13e+01]
80000 [9.34e-01, 1.14e+01]
80200 [9.34e-01, 1.14e+01]
80400 [9.34e-01, 1.14e+01]
80600 [9.34e-01, 1.14e+01]
80800 [9.34e-01, 1.14e+01]
81000 [9.34e-01, 1.14e+01]
81200 [9.34e-01, 1.14e+01]
81400 [9.34e-01, 1.14e+01]
81600 [9.34e-01, 1.14e+01]
81800 [9.34e-01, 1.14e+01]
82000 [9.34e-01, 1.14e+01]
82200 [9.33e-01, 1.15e+01]
82400 [9.33e-01, 1.15e+01]
82600 [9.33e-01, 1.15e+01]
82800 [9.33e-01, 1.15e+01]
83000 [9.33e-01, 1.15e+01]
83200 [9.33e-01, 1.15e+01]
83400 [9.33e-01, 1.15e+01]
83600 [9.33e-01, 1.15e+01]
83800 [9.33e-01, 1.15e+01]
84000 [9.33e-01, 1.15e+01]
84200 [9.33e-01, 1.15e+01]
84400 [9.33e-01, 1.16e+01]
84600 [9.33e-01, 1.16e+01]
84800 [9.33e-01, 1.16e+01]
85000 [9.33e-01, 1.16e+01]
85200 [9.33e-01, 1.16e+01]
85400 [9.33e-01, 1.16e+01]
85600 [9.33e-01, 1.16e+01]
85800 [9.32e-01, 1.16e+01]
86000 [9.32e-01, 1.16e+01]
86200 [9.32e-01, 1.16e+01]
86400 [9.32e-01, 1.16e+01]
86600 [9.32e-01, 1.17e+01]
86800 [9.32e-01, 1.17e+01]
87000 [9.32e-01, 1.17e+01]
87200 [9.32e-01, 1.17e+01]
87400 [9.32e-01, 1.17e+01]
87600 [9.32e-01, 1.17e+01]
87800 [9.32e-01, 1.17e+01]
88000 [9.32e-01, 1.17e+01]
88200 [9.32e-01, 1.17e+01]
88400 [9.32e-01, 1.17e+01]
88600 [9.32e-01, 1.17e+01]
88800 [9.32e-01, 1.17e+01]
89000 [9.32e-01, 1.18e+01]
89200 [9.32e-01, 1.18e+01]
89400 [9.32e-01, 1.18e+01]
89600 [9.31e-01, 1.18e+01]
89800 [9.31e-01, 1.18e+01]
90000 [9.31e-01, 1.18e+01]
90200 [9.31e-01, 1.18e+01]
90400 [9.31e-01, 1.18e+01]
90600 [9.31e-01, 1.18e+01]
90800 [9.31e-01, 1.18e+01]
91000 [9.31e-01, 1.18e+01]
91200 [9.31e-01, 1.18e+01]
91400 [9.31e-01, 1.19e+01]
91600 [9.31e-01, 1.19e+01]
91800 [9.31e-01, 1.19e+01]
92000 [9.31e-01, 1.19e+01]
92200 [9.31e-01, 1.19e+01]
92400 [9.31e-01, 1.19e+01]
92600 [9.31e-01, 1.19e+01]
92800 [9.31e-01, 1.19e+01]
93000 [9.31e-01, 1.19e+01]
93200 [9.31e-01, 1.19e+01]
93400 [9.31e-01, 1.19e+01]
93600 [9.30e-01, 1.19e+01]
93800 [9.30e-01, 1.19e+01]
94000 [9.30e-01, 1.20e+01]
94200 [9.30e-01, 1.20e+01]
94400 [9.30e-01, 1.20e+01]
94600 [9.30e-01, 1.20e+01]
94800 [9.30e-01, 1.20e+01]
95000 [9.30e-01, 1.20e+01]
95200 [9.30e-01, 1.20e+01]
95400 [9.30e-01, 1.20e+01]
95600 [9.30e-01, 1.20e+01]
95800 [9.30e-01, 1.20e+01]
96000 [9.30e-01, 1.20e+01]
96200 [9.30e-01, 1.20e+01]
96400 [9.30e-01, 1.20e+01]
96600 [9.30e-01, 1.21e+01]
96800 [9.30e-01, 1.21e+01]
97000 [9.30e-01, 1.21e+01]
97200 [9.30e-01, 1.21e+01]
97400 [9.30e-01, 1.21e+01]
97600 [9.30e-01, 1.21e+01]
97800 [9.30e-01, 1.21e+01]
98000 [9.29e-01, 1.21e+01]
98200 [9.29e-01, 1.21e+01]
98400 [9.29e-01, 1.21e+01]
98600 [9.29e-01, 1.21e+01]
98800 [9.29e-01, 1.21e+01]
99000 [9.29e-01, 1.21e+01]
99200 [9.29e-01, 1.21e+01]
99400 [9.29e-01, 1.21e+01]
99600 [9.29e-01, 1.22e+01]
99800 [9.29e-01, 1.22e+01]
100000 [9.29e-01, 1.22e+01]
100200 [9.29e-01, 1.22e+01]
100400 [9.29e-01, 1.22e+01]
100600 [9.29e-01, 1.22e+01]
100800 [9.29e-01, 1.22e+01]
