Epoch,Time (seconds)
1000,13.51190972328186
2000,25.57375979423523
3000,37.2298002243042
4000,49.00259256362915
5000,60.71334981918335
6000,72.45101499557495
7000,84.12825083732605
8000,95.96723818778992
9000,107.79793071746826
10000,119.59332418441772
11000,131.23052310943604
12000,142.97302985191345
13000,154.6107952594757
14000,166.2580955028534
15000,177.89708852767944
16000,189.55240273475647
17000,201.28908109664917
18000,212.99203419685364
19000,224.676527261734
20000,236.3097939491272
21000,248.0492880344391
22000,259.7422230243683
23000,271.3693790435791
24000,283.05217838287354
25000,294.74304246902466
26000,306.4760835170746
27000,318.1153666973114
28000,329.7787253856659
29000,341.42111349105835
30000,353.1511061191559
31000,364.96717739105225
32000,376.89990973472595
33000,388.7852156162262
34000,400.7308075428009
35000,412.62047004699707
36000,424.3968234062195
37000,436.0944468975067
38000,447.7555067539215
39000,459.4003071784973
40000,471.0420048236847
41000,482.6753296852112
42000,494.35109877586365
43000,505.98951983451843
44000,517.6883313655853
45000,529.5562827587128
46000,541.2454161643982
47000,552.9720137119293
48000,565.0008203983307
49000,576.7552978992462
50000,588.5275053977966
51000,600.1890506744385
52000,611.8568704128265
53000,623.5596289634705
54000,635.363664150238
55000,647.1505947113037
56000,658.879056930542
57000,670.5189762115479
58000,682.16743516922
59000,693.8110246658325
60000,705.4553248882294
61000,717.1728656291962
62000,728.9125530719757
63000,740.6623530387878
64000,752.2953653335571
65000,763.9370260238647
66000,775.5714931488037
67000,787.2179572582245
68000,799.0417513847351
69000,810.8532629013062
70000,822.692939043045
71000,834.4967014789581
72000,846.3272333145142
73000,857.9827795028687
74000,869.7948698997498
75000,881.4972672462463
76000,893.2356770038605
77000,904.9751455783844
78000,916.6642420291901
79000,928.396865606308
80000,940.0323748588562
81000,951.6856527328491
82000,963.3279933929443
83000,975.0672438144684
84000,986.7347257137299
85000,998.3733212947845
86000,1009.8471541404724
87000,1021.6880402565002
88000,1033.4065039157867
89000,1045.0438940525055
90000,1056.6968791484833
91000,1068.3128361701965
92000,1080.0271682739258
93000,1091.6775953769684
94000,1103.3303887844086
95000,1114.9791135787964
96000,1126.6266231536865
97000,1138.275048494339
98000,1149.982090473175
99000,1161.6141645908356
100000,1173.311406135559
101000,1185.061330318451
102000,1196.728521823883
103000,1208.405552148819
104000,1220.1000497341156
105000,1231.9233968257904
106000,1243.7865040302277
107000,1255.5718927383423
108000,1267.2961642742157
109000,1279.0626091957092
110000,1290.8269929885864
111000,1302.5856301784515
112000,1314.299665927887
113000,1325.9148783683777
114000,1337.5950009822845
115000,1349.3410420417786
116000,1360.74964427948
117000,1372.1429126262665
118000,1383.8286247253418
119000,1395.5509791374207
120000,1407.287270307541
121000,1418.9372415542603
122000,1430.600638628006
123000,1442.3336095809937
124000,1454.0363359451294
125000,1465.7928829193115
126000,1477.4389650821686
127000,1489.178486585617
128000,1500.8169417381287
129000,1512.659141778946
130000,1524.3097610473633
131000,1535.9560842514038
132000,1547.6053049564362
133000,1559.0085332393646
134000,1570.3953416347504
135000,1581.773363351822
136000,1593.5123419761658
137000,1605.2556660175323
138000,1617.0117778778076
139000,1628.679829120636
140000,1640.3369200229645
141000,1651.9866228103638
142000,1663.62264418602
143000,1675.2613310813904
144000,1687.0825295448303
145000,1698.9036428928375
146000,1710.6492457389832
